X,Y,Z
-4.097430385,1.872133733,-1.164257142
-4.097446725,1.872131555,-1.167786718
-4.097461702,1.872129559,-1.171022163
-4.09747668,1.872127563,-1.174257608
-4.097491657,1.872125566,-1.177493052
-4.097507996,1.872123388,-1.181022628
-4.097522974,1.872121392,-1.184258073
-4.097537951,1.872119395,-1.187493517
-4.097552929,1.872117399,-1.190728962
-4.097567906,1.872115402,-1.193964406
-4.097584245,1.872113225,-1.197493982
-4.097599223,1.872111228,-1.200729427
-4.0976142,1.872109232,-1.203964872
-4.097629178,1.872107235,-1.207200316
-4.097645517,1.872105057,-1.210729892
-4.097660494,1.872103061,-1.213965337
-4.097675472,1.872101065,-1.217200781
-4.097690449,1.872099068,-1.220436226
-4.097705427,1.872097072,-1.22367167
-4.097721766,1.872094894,-1.227201246
-4.097736743,1.872092897,-1.230436691
-4.097751721,1.872090901,-1.233672136
-4.097766698,1.872088905,-1.23690758
-4.097783037,1.872086727,-1.240437156
-4.097798015,1.87208473,-1.243672601
-4.097812992,1.872082734,-1.246908045
-4.09782797,1.872080737,-1.25014349
-4.097842947,1.872078741,-1.253378934
-4.097859286,1.872076563,-1.25690851
-4.097874264,1.872074567,-1.260143955
-4.097889241,1.87207257,-1.2633794
-4.097904219,1.872070574,-1.266614844
-4.097920558,1.872068396,-1.27014442
-4.097935535,1.872066399,-1.273379865
-4.097950513,1.872064403,-1.276615309
-4.09796549,1.872062407,-1.279850754
-4.097980468,1.87206041,-1.283086198
-4.097996807,1.872058232,-1.286615774
-4.098011784,1.872056236,-1.289851219
-4.098026762,1.872054239,-1.293086664
-4.098041739,1.872052243,-1.296322108
-4.098056717,1.872050247,-1.299557553
-4.098073056,1.872048069,-1.303087129
-4.098088033,1.872046072,-1.306322573
-4.098103011,1.872044076,-1.309558018
-4.098117988,1.872042079,-1.312793463
-4.098134327,1.872039901,-1.316323038
-4.098149305,1.872037905,-1.319558483
-4.098164282,1.872035909,-1.322793928
-4.09817926,1.872033912,-1.326029372
-4.098194237,1.872031916,-1.329264817
-4.098210577,1.872029738,-1.332794393
-4.098225554,1.872027741,-1.336029837
-4.098240532,1.872025745,-1.339265282
-4.098255509,1.872023749,-1.342500727
-4.098271848,1.872021571,-1.346030302
-4.098286826,1.872019574,-1.349265747
-4.098301803,1.872017578,-1.352501192
-4.098316781,1.872015581,-1.355736636
-4.098331758,1.872013585,-1.358972081
-4.098348097,1.872011407,-1.362501657
-4.098363075,1.872009411,-1.365737101
-4.098378052,1.872007414,-1.368972546
-4.09839303,1.872005418,-1.372207991
