X,Y,Z
-3.812427594,1.867573543,0.420324555
-3.812357207,1.86756951,0.417914853
-3.812276763,1.8675649,0.415160907
-3.81219632,1.867560291,0.412406962
-3.812115877,1.867555681,0.409653016
-3.812035434,1.867551071,0.40689907
-3.811965046,1.867547038,0.404489368
-3.811884603,1.867542428,0.401735422
-3.81180416,1.867537819,0.398981477
-3.811723716,1.867533209,0.396227531
-3.811653329,1.867529176,0.393817829
-3.811572885,1.867524566,0.391063883
-3.811492442,1.867519957,0.388309938
-3.811411999,1.867515347,0.385555992
-3.811341611,1.867511314,0.38314629
-3.811261168,1.867506704,0.380392344
-3.811180725,1.867502094,0.377638398
-3.811100282,1.867497485,0.374884453
-3.811019838,1.867492875,0.372130507
-3.810949451,1.867488842,0.369720805
-3.810869007,1.867484232,0.366966859
-3.810788564,1.867479623,0.364212914
-3.810708121,1.867475013,0.361458968
-3.810637733,1.86747098,0.359049266
-3.81055729,1.86746637,0.35629532
-3.810476847,1.86746176,0.353541374
-3.810396404,1.867457151,0.350787429
-3.810326016,1.867453117,0.348377726
-3.810245573,1.867448508,0.345623781
-3.810165129,1.867443898,0.342869835
-3.810084686,1.867439289,0.34011589
-3.810004243,1.867434679,0.337361944
-3.809933855,1.867430646,0.334952242
-3.809853412,1.867426036,0.332198296
-3.809772969,1.867421426,0.32944435
-3.809692526,1.867416817,0.326690405
-3.809622138,1.867412783,0.324280702
-3.809541695,1.867408174,0.321526757
-3.809461251,1.867403564,0.318772811
-3.809380808,1.867398955,0.316018866
-3.80931042,1.867394921,0.313609163
-3.809229977,1.867390312,0.310855218
-3.809149534,1.867385702,0.308101272
-3.809069091,1.867381092,0.305347326
-3.808988648,1.867376483,0.302593381
-3.80891826,1.867372449,0.300183678
-3.808837817,1.86736784,0.297429733
-3.808757373,1.86736323,0.294675787
-3.80867693,1.867358621,0.291921842
-3.808606542,1.867354587,0.289512139
-3.808526099,1.867349978,0.286758194
-3.808445656,1.867345368,0.284004248
-3.808365213,1.867340758,0.281250302
-3.808294825,1.867336725,0.2788406
-3.808214382,1.867332115,0.276086654
-3.808133939,1.867327506,0.273332709
-3.808053495,1.867322896,0.270578763
-3.807973052,1.867318287,0.267824818
-3.807902664,1.867314253,0.265415115
-3.807822221,1.867309644,0.26266117
-3.807741778,1.867305034,0.259907224
-3.807661335,1.867300424,0.257153278
-3.807590947,1.867296391,0.254743576
-3.807510504,1.867291781,0.25198963
-3.807430061,1.867287172,0.249235685
-3.807349617,1.867282562,0.246481739
-3.80727923,1.867278529,0.244072037
-3.807198786,1.867273919,0.241318091
