Format Version,1.22,Take Name,UASSAR4_rail_diagonal,Capture Frame Rate,360,Export Frame Rate,360,Capture Start Time,2018-07-20 09.54.20.680 AM,Total Frames in Take,7404,Total Exported Frames,7404,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,0.035652,0.200476,0.074859,-0.976184,-3.821789,1.867968,0.752343,0,-3.730266,1.863824,0.825809,0.927586,-3.656781,1.859045,0.759734,0.928885,-3.72538,1.864667,0.690177,0.886952,-3.999169,1.876245,0.811684,0.954129,-3.99735,1.876059,0.674311,0.938819,-3.730266,1.863824,0.825809,-3.656781,1.859045,0.759734,-3.72538,1.864667,0.690177,-3.999169,1.876245,0.811684,-3.99735,1.876059,0.674311
15,0.041667,0.035727,0.20023,0.074239,-0.976279,-3.821819,1.867922,0.752361,0,-3.730248,1.863911,0.825776,0.979639,-3.656796,1.859195,0.75966,0.958861,-3.725442,1.864712,0.690141,0.92752,-3.999175,1.876011,0.811801,0.968173,-3.997434,1.875778,0.674427,0.919686,-3.730248,1.863911,0.825776,-3.656796,1.859195,0.75966,-3.725442,1.864712,0.690141,-3.999175,1.876011,0.811801,-3.997434,1.875778,0.674427
16,0.044444,0.036352,0.20034,0.074651,-0.976202,-3.821852,1.867976,0.752318,0,-3.730299,1.863948,0.825754,0.979639,-3.65684,1.859083,0.759657,0.958861,-3.725467,1.864598,0.690119,0.92752,-3.99921,1.876318,0.811717,0.968173,-3.997444,1.875934,0.674344,0.919686,-3.730299,1.863948,0.825754,-3.65684,1.859083,0.759657,-3.725467,1.864598,0.690119,-3.99921,1.876318,0.811717,-3.997444,1.875934,0.674344
17,0.047222,0.034874,0.200098,0.0745,-0.976317,-3.82177,1.867913,0.752373,0,-3.730191,1.863755,0.825768,0.944587,-3.656748,1.859145,0.759635,0.934913,-3.725402,1.864799,0.690134,0.922184,-3.999117,1.875927,0.81185,0.950238,-3.997394,1.875939,0.674475,0.936803,-3.730191,1.863755,0.825768,-3.656748,1.859145,0.759635,-3.725402,1.864799,0.690134,-3.999116,1.875927,0.81185,-3.997394,1.875939,0.674475
18,0.05,0.035331,0.200398,0.074651,-0.976227,-3.821824,1.867925,0.752286,0,-3.730288,1.863789,0.825736,0.923899,-3.65681,1.859086,0.759649,0.934075,-3.725422,1.86471,0.690105,0.931573,-3.9992,1.876074,0.811656,0.954274,-3.9974,1.875965,0.674282,0.948064,-3.730288,1.863789,0.825736,-3.65681,1.859086,0.759649,-3.725422,1.86471,0.690105,-3.9992,1.876074,0.811656,-3.9974,1.875965,0.674282
19,0.052778,0.03646,0.200449,0.07444,-0.976191,-3.821877,1.868002,0.752306,0,-3.730336,1.864031,0.82576,0.923899,-3.656863,1.859173,0.759679,0.934075,-3.72548,1.864641,0.690126,0.931573,-3.999249,1.876295,0.81167,0.954274,-3.997458,1.87587,0.674297,0.948064,-3.730336,1.864031,0.82576,-3.656863,1.859173,0.759679,-3.72548,1.864641,0.690126,-3.999249,1.876295,0.81167,-3.997458,1.87587,0.674297
20,0.055556,0.034501,0.199998,0.074815,-0.976326,-3.821862,1.868082,0.752347,0,-3.730276,1.863818,0.825728,0.952417,-3.656843,1.85923,0.759582,0.953411,-3.725502,1.864977,0.690095,0.945685,-3.999198,1.876128,0.811853,0.962149,-3.997491,1.876259,0.674478,0.924505,-3.730276,1.863818,0.825728,-3.656843,1.85923,0.759582,-3.725502,1.864977,0.690095,-3.999198,1.876128,0.811853,-3.997491,1.876259,0.674478
21,0.058333,0.034715,0.200212,0.074387,-0.976308,-3.821818,1.867859,0.752373,0,-3.730256,1.86371,0.82579,0.914813,-3.656795,1.859137,0.759673,0.931217,-3.725434,1.864788,0.690157,0.93346,-3.999182,1.875806,0.811809,0.944109,-3.997425,1.875853,0.674435,0.959609,-3.730256,1.86371,0.82579,-3.656795,1.859137,0.759673,-3.725434,1.864788,0.690157,-3.999182,1.875806,0.811809,-3.997425,1.875853,0.674435
22,0.061111,0.035166,0.200424,0.075355,-0.976174,-3.821904,1.868021,0.752324,0,-3.730384,1.863721,0.825785,0.914813,-3.656903,1.85896,0.759706,0.931217,-3.725497,1.864717,0.690155,0.93346,-3.999278,1.876368,0.811672,0.944109,-3.997457,1.876338,0.674299,0.959609,-3.730384,1.863721,0.825785,-3.656903,1.85896,0.759706,-3.725497,1.864717,0.690155,-3.999278,1.876368,0.811672,-3.997457,1.876338,0.674299
23,0.063889,0.03592,0.200559,0.074691,-0.97617,-3.821835,1.867893,0.752334,0,-3.730319,1.863814,0.825813,0.92947,-3.656826,1.859012,0.759749,0.93436,-3.725419,1.864577,0.690181,0.893325,-3.999224,1.876167,0.81165,0.950796,-3.997389,1.875898,0.674277,0.931365,-3.730319,1.863814,0.825813,-3.656826,1.859012,0.759749,-3.725419,1.864577,0.690181,-3.999224,1.876167,0.81165,-3.997389,1.875898,0.674277
24,0.066667,0.036087,0.200275,0.074784,-0.976215,-3.821871,1.86791,0.752351,0,-3.730312,1.863825,0.825776,0.92947,-3.656859,1.858987,0.75967,0.93436,-3.725492,1.864553,0.690142,0.893325,-3.999222,1.876244,0.811769,0.950796,-3.997468,1.875941,0.674396,0.931365,-3.730312,1.863825,0.825776,-3.656859,1.858987,0.75967,-3.725492,1.864553,0.690142,-3.999222,1.876244,0.811769,-3.997468,1.875941,0.674396
25,0.069444,0.03602,0.200412,0.074731,-0.976193,-3.821859,1.867873,0.752309,0,-3.730321,1.863795,0.82576,0.935365,-3.656848,1.858972,0.759675,0.936167,-3.725462,1.864535,0.690127,0.892827,-3.999228,1.876178,0.811679,0.964718,-3.997436,1.875887,0.674305,0.934453,-3.730321,1.863795,0.82576,-3.656848,1.858972,0.759675,-3.725462,1.864535,0.690127,-3.999228,1.876178,0.811679,-3.997436,1.875887,0.674305
26,0.072222,0.035136,0.200436,0.074778,-0.976217,-3.821862,1.867965,0.752332,0,-3.730335,1.863783,0.825792,0.932723,-3.65685,1.859095,0.759711,0.94547,-3.725453,1.864761,0.690161,0.924766,-3.999244,1.876119,0.811685,0.958218,-3.997427,1.876068,0.674312,0.94581,-3.730335,1.863783,0.825792,-3.65685,1.859095,0.759711,-3.725453,1.864761,0.690161,-3.999244,1.876119,0.811685,-3.997427,1.876068,0.674312
27,0.075,0.035218,0.20017,0.074366,-0.9763,-3.821806,1.867919,0.752335,0,-3.730233,1.863827,0.825742,0.932723,-3.656783,1.859178,0.759618,0.94547,-3.725432,1.864771,0.690108,0.924766,-3.999159,1.875954,0.811791,0.958218,-3.997424,1.875866,0.674417,0.94581,-3.730233,1.863827,0.825742,-3.656783,1.859178,0.759618,-3.725432,1.864771,0.690108,-3.999159,1.875954,0.811791,-3.997424,1.875866,0.674417
28,0.077778,0.035578,0.199988,0.074335,-0.976327,-3.821845,1.867962,0.752393,0,-3.730241,1.863912,0.825764,0.986044,-3.65682,1.85921,0.759612,0.969217,-3.725497,1.864763,0.690127,0.938435,-3.999172,1.876054,0.811918,0.97539,-3.997495,1.875871,0.674543,0.940141,-3.730241,1.863912,0.825764,-3.65682,1.85921,0.759612,-3.725497,1.864763,0.690127,-3.999172,1.876054,0.811918,-3.997495,1.875871,0.674543
29,0.080556,0.035128,0.200052,0.074333,-0.97633,-3.821784,1.867936,0.752378,0,-3.730193,1.86384,0.825762,0.934838,-3.656759,1.859209,0.759621,0.939928,-3.725424,1.864809,0.690127,0.925456,-3.999124,1.875943,0.811876,0.97454,-3.997421,1.87588,0.674502,0.964907,-3.730193,1.86384,0.825762,-3.656759,1.859209,0.759621,-3.725424,1.864809,0.690127,-3.999124,1.875943,0.811876,-3.997421,1.87588,0.674502
30,0.083333,0.036348,0.200431,0.074429,-0.9762,-3.821856,1.86812,0.752341,0,-3.730314,1.864139,0.825792,0.934838,-3.656842,1.8593,0.759707,0.939928,-3.72546,1.864778,0.690158,0.925456,-3.999228,1.876388,0.81171,0.97454,-3.99744,1.875993,0.674337,0.964907,-3.730314,1.864139,0.825792,-3.656842,1.8593,0.759707,-3.72546,1.864778,0.690158,-3.999228,1.876388,0.81171,-3.99744,1.875993,0.674337
31,0.086111,0.035335,0.200409,0.074948,-0.976202,-3.821896,1.868193,0.752306,0,-3.730366,1.863996,0.825761,0.914002,-3.656888,1.859257,0.759677,0.929794,-3.725493,1.864929,0.69013,0.932855,-3.999271,1.876439,0.811668,0.942862,-3.997463,1.876344,0.674294,0.959006,-3.730366,1.863996,0.825761,-3.656888,1.859257,0.759677,-3.725493,1.864929,0.69013,-3.999271,1.876439,0.811668,-3.997463,1.876344,0.674294
32,0.088889,0.035025,0.200175,0.0745,-0.976296,-3.821923,1.867811,0.752394,0,-3.730355,1.863671,0.825804,0.914002,-3.656903,1.859036,0.759682,0.929794,-3.725547,1.864673,0.69017,0.932855,-3.999278,1.875853,0.811845,0.942862,-3.997536,1.875824,0.674471,0.959006,-3.730355,1.863671,0.825804,-3.656903,1.859036,0.759682,-3.725547,1.864673,0.69017,-3.999278,1.875853,0.811845,-3.997536,1.875824,0.674471
33,0.091667,0.035267,0.200456,0.074793,-0.976207,-3.821851,1.867895,0.752294,0,-3.730327,1.863724,0.825757,0.917805,-3.65684,1.859014,0.759679,0.928543,-3.725441,1.864667,0.690126,0.904488,-3.999234,1.876079,0.81164,0.941505,-3.997414,1.875993,0.674267,0.933149,-3.730327,1.863724,0.825757,-3.65684,1.859014,0.759679,-3.725441,1.864667,0.690126,-3.999234,1.876079,0.81164,-3.997414,1.875993,0.674267
34,0.094444,0.035672,0.200408,0.07462,-0.976215,-3.821842,1.867982,0.752277,0,-3.730304,1.863889,0.825729,0.9379,-3.656828,1.859136,0.759642,0.946758,-3.725442,1.864718,0.690096,0.930151,-3.999216,1.876185,0.811647,0.960011,-3.997419,1.875983,0.674274,0.935762,-3.730304,1.863889,0.825729,-3.656828,1.859136,0.759642,-3.725442,1.864718,0.690096,-3.999216,1.876185,0.811647,-3.997419,1.875983,0.674274
