Format Version,1.22,Take Name,DavidFail2,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-03 09.17.49.319 AM,Total Frames in Take,7056,Total Exported Frames,7056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
2348,6.522222,0.005488,0.062760,0.009438,-0.997969,-3.250209,1.081936,0.576012,0.000000,-3.472034,1.074098,0.578872,0.936498,-3.388706,1.157002,0.576144,0.954931,-3.160697,1.058236,0.581631,0.928822,-3.116093,1.058086,0.476952,0.907655,-3.113517,1.062257,0.666463,0.963157,-3.472034,1.074098,0.578872,-3.388706,1.157002,0.576144,-3.160697,1.058236,0.581631,-3.116093,1.058086,0.476952,-3.113517,1.062257,0.666463,,,,,,,,,
2349,6.525000,0.005282,0.062984,0.009076,-0.997959,-3.250220,1.081888,0.575933,0.000000,-3.472039,1.073883,0.578691,0.938767,-3.388772,1.156850,0.576030,0.951325,-3.160692,1.058254,0.581583,0.921978,-3.116042,1.058175,0.476924,0.910876,-3.113553,1.062279,0.666438,0.964820,-3.472039,1.073883,0.578691,-3.388772,1.156850,0.576030,-3.160692,1.058254,0.581583,-3.116042,1.058175,0.476924,-3.113553,1.062279,0.666438,,,,,,,,,
2350,6.527778,0.005516,0.062836,0.009067,-0.997967,-3.250215,1.081972,0.575888,0.000000,-3.472034,1.073971,0.578716,0.929009,-3.388766,1.156936,0.575991,0.957456,-3.160685,1.058339,0.581522,0.900793,-3.116066,1.058211,0.476850,0.868015,-3.113521,1.062404,0.666361,0.917203,-3.472034,1.073971,0.578716,-3.388766,1.156936,0.575991,-3.160685,1.058339,0.581522,-3.116066,1.058211,0.476850,-3.113521,1.062404,0.666361,,,,,,,,,
2351,6.530556,0.005572,0.062513,0.008683,-0.997991,-3.250196,1.081782,0.575955,0.000000,-3.472007,1.073613,0.578929,0.937162,-3.388805,1.156641,0.576138,0.944759,-3.160646,1.058217,0.581535,0.922024,-3.116095,1.058107,0.476833,0.901455,-3.113429,1.062331,0.666342,0.958411,-3.472007,1.073613,0.578929,-3.388805,1.156641,0.576138,-3.160646,1.058217,0.581535,-3.116095,1.058107,0.476833,-3.113429,1.062331,0.666342,,,,,,,,,
2352,6.533333,0.005078,0.062943,0.008946,-0.997964,-3.250288,1.081834,0.576014,0.000000,-3.472105,1.073765,0.578786,0.937162,-3.388862,1.156757,0.576152,0.944759,-3.160753,1.058223,0.581648,0.922024,-3.116111,1.058197,0.476985,0.901455,-3.113609,1.062229,0.666500,0.958411,-3.472105,1.073765,0.578786,-3.388862,1.156757,0.576152,-3.160753,1.058223,0.581648,-3.116111,1.058197,0.476985,-3.113609,1.062229,0.666500,,,,,,,,,
2353,6.536111,0.005273,0.062762,0.009459,-0.997970,-3.250239,1.081892,0.575968,0.000000,-3.472064,1.074057,0.578823,0.887151,-3.388734,1.156960,0.576131,0.890789,-3.160727,1.058189,0.581577,0.922494,-3.116123,1.058083,0.476898,0.898391,-3.113548,1.062173,0.666411,0.959938,-3.472064,1.074057,0.578823,-3.388734,1.156960,0.576131,-3.160727,1.058189,0.581577,-3.116123,1.058083,0.476898,-3.113548,1.062173,0.666411,,,,,,,,,
2354,6.538889,0.005201,0.062991,0.009357,-0.997957,-3.250263,1.081916,0.575960,0.000000,-3.472087,1.074032,0.578711,0.927371,-3.388774,1.156954,0.576069,0.954611,-3.160748,1.058231,0.581607,0.902332,-3.116096,1.058148,0.476949,0.886506,-3.113609,1.062214,0.666463,0.910265,-3.472087,1.074032,0.578711,-3.388774,1.156954,0.576069,-3.160748,1.058231,0.581607,-3.116096,1.058148,0.476949,-3.113609,1.062214,0.666463,,,,,,,,,
2355,6.541667,0.005584,0.062668,0.009110,-0.997977,-3.250322,1.081912,0.576013,0.000000,-3.472141,1.073933,0.578917,0.894697,-3.388867,1.156889,0.576154,0.940393,-3.160794,1.058271,0.581619,0.892386,-3.116210,1.058125,0.476932,0.902121,-3.113600,1.062342,0.666442,0.918648,-3.472141,1.073933,0.578917,-3.388867,1.156889,0.576154,-3.160794,1.058271,0.581619,-3.116210,1.058125,0.476932,-3.113600,1.062342,0.666442,,,,,,,,,
2356,6.544444,0.005844,0.062556,0.009177,-0.997982,-3.250335,1.081991,0.576002,0.000000,-3.472154,1.074050,0.578960,0.934246,-3.388867,1.156991,0.576136,0.947615,-3.160809,1.058337,0.581600,0.921598,-3.116249,1.058131,0.476903,0.891328,-3.113595,1.062444,0.666410,0.969726,-3.472154,1.074050,0.578960,-3.388867,1.156991,0.576136,-3.160809,1.058337,0.581600,-3.116249,1.058131,0.476903,-3.113595,1.062444,0.666410,,,,,,,,,
2357,6.547222,0.004540,0.063017,0.009321,-0.997959,-3.250341,1.081827,0.575955,0.000000,-3.472164,1.073906,0.578682,0.934246,-3.388864,1.156844,0.576153,0.947615,-3.160823,1.058149,0.581576,0.921598,-3.116164,1.058210,0.476921,0.891328,-3.113690,1.062028,0.666441,0.969726,-3.472164,1.073906,0.578682,-3.388864,1.156844,0.576153,-3.160823,1.058149,0.581576,-3.116164,1.058210,0.476921,-3.113690,1.062028,0.666441,,,,,,,,,
2358,6.550000,0.005431,0.062675,0.009231,-0.997977,-3.250321,1.081966,0.576034,0.000000,-3.472142,1.074035,0.578932,0.897186,-3.388849,1.156973,0.576197,0.935560,-3.160798,1.058303,0.581635,0.881106,-3.116212,1.058181,0.476949,0.873700,-3.113605,1.062336,0.666460,0.830261,-3.472142,1.074035,0.578932,-3.388849,1.156973,0.576197,-3.160798,1.058303,0.581635,-3.116212,1.058181,0.476949,-3.113605,1.062336,0.666460,,,,,,,,,
2359,6.552778,0.005853,0.062602,0.009032,-0.997981,-3.250269,1.081905,0.576024,0.000000,-3.472087,1.073900,0.578963,0.932718,-3.388823,1.156865,0.576144,0.945849,-3.160737,1.058277,0.581632,0.916614,-3.116168,1.058080,0.476938,0.896831,-3.113532,1.062400,0.666445,0.962091,-3.472087,1.073900,0.578963,-3.388823,1.156865,0.576144,-3.160737,1.058277,0.581632,-3.116168,1.058080,0.476938,-3.113532,1.062400,0.666445,,,,,,,,,
2360,6.555556,0.005657,0.062845,0.009116,-0.997966,-3.250248,1.081932,0.576054,0.000000,-3.472068,1.073957,0.578881,0.933833,-3.388791,1.156911,0.576135,0.943458,-3.160722,1.058290,0.581696,0.922046,-3.116101,1.058128,0.477025,0.908022,-3.113558,1.062373,0.666535,0.958710,-3.472068,1.073957,0.578881,-3.388791,1.156911,0.576135,-3.160722,1.058290,0.581696,-3.116101,1.058128,0.477025,-3.113558,1.062373,0.666535,,,,,,,,,
2361,6.558333,0.006341,0.062492,0.009060,-0.997984,-3.250144,1.082075,0.575960,0.000000,-3.471961,1.074100,0.578957,0.929859,-3.388688,1.157052,0.576038,0.969818,-3.160613,1.058443,0.581569,0.931439,-3.116067,1.058139,0.476866,0.891308,-3.113388,1.062643,0.666368,0.952109,-3.471961,1.074100,0.578957,-3.388688,1.157052,0.576038,-3.160613,1.058443,0.581569,-3.116067,1.058139,0.476866,-3.113388,1.062643,0.666368,,,,,,,,,
2362,6.561111,0.005521,0.062886,0.008708,-0.997967,-3.250176,1.081777,0.575988,0.000000,-3.471990,1.073617,0.578795,0.947061,-3.388782,1.156641,0.576074,0.961063,-3.160630,1.058208,0.581631,0.909549,-3.116002,1.058106,0.476964,0.888794,-3.113477,1.062312,0.666475,0.951245,-3.471989,1.073617,0.578795,-3.388782,1.156641,0.576074,-3.160630,1.058208,0.581631,-3.116002,1.058106,0.476964,-3.113477,1.062312,0.666475,,,,,,,,,
2363,6.563889,0.005895,0.062648,0.008757,-0.997980,-3.250270,1.081936,0.575999,0.000000,-3.472083,1.073811,0.578919,0.947061,-3.388865,1.156821,0.576097,0.961063,-3.160725,1.058358,0.581617,0.909549,-3.116147,1.058173,0.476927,0.888794,-3.113530,1.062517,0.666434,0.951245,-3.472083,1.073811,0.578919,-3.388865,1.156821,0.576097,-3.160725,1.058358,0.581617,-3.116147,1.058173,0.476927,-3.113530,1.062517,0.666434,,,,,,,,,
2364,6.566667,0.005746,0.062713,0.009202,-0.997973,-3.250268,1.081913,0.576008,0.000000,-3.472088,1.073979,0.578894,0.937069,-3.388797,1.156918,0.576113,0.961087,-3.160744,1.058255,0.581630,0.914054,-3.116151,1.058067,0.476947,0.890486,-3.113557,1.062343,0.666455,0.959537,-3.472088,1.073979,0.578894,-3.388797,1.156918,0.576113,-3.160744,1.058255,0.581630,-3.116151,1.058067,0.476947,-3.113557,1.062343,0.666455,,,,,,,,,
2365,6.569444,0.005793,0.062379,0.009061,-0.997995,-3.250328,1.081964,0.575990,0.000000,-3.472145,1.073970,0.579026,0.928668,-3.388878,1.156931,0.576180,0.962035,-3.160794,1.058331,0.581554,0.911817,-3.116272,1.058145,0.476841,0.896829,-3.113552,1.062441,0.666348,0.937530,-3.472145,1.073970,0.579026,-3.388878,1.156931,0.576180,-3.160794,1.058331,0.581554,-3.116272,1.058145,0.476841,-3.113552,1.062441,0.666348,,,,,,,,,
2366,6.572222,0.005647,0.062596,0.008875,-0.997984,-3.250259,1.081923,0.576041,0.000000,-3.472073,1.073842,0.578979,0.935843,-3.388838,1.156837,0.576191,0.950446,-3.160718,1.058324,0.581638,0.923685,-3.116150,1.058183,0.476944,0.910578,-3.113514,1.062431,0.666453,0.960962,-3.472073,1.073842,0.578979,-3.388838,1.156837,0.576191,-3.160718,1.058324,0.581638,-3.116150,1.058183,0.476944,-3.113514,1.062431,0.666453,,,,,,,,,
2367,6.575000,0.005605,0.062748,0.009076,-0.997972,-3.250231,1.081910,0.576055,0.000000,-3.472050,1.073916,0.578923,0.936033,-3.388780,1.156878,0.576170,0.949769,-3.160702,1.058275,0.581677,0.926396,-3.116102,1.058127,0.476997,0.910824,-3.113522,1.062353,0.666507,0.962264,-3.472050,1.073916,0.578923,-3.388780,1.156878,0.576170,-3.160702,1.058275,0.581677,-3.116102,1.058127,0.476997,-3.113522,1.062353,0.666507,,,,,,,,,
2368,6.577778,0.006211,0.062734,0.008723,-0.997973,-3.250273,1.081989,0.575957,0.000000,-3.472086,1.073860,0.578845,0.930870,-3.388869,1.156870,0.575984,0.964587,-3.160728,1.058418,0.581604,0.912162,-3.116132,1.058167,0.476923,0.893179,-3.113548,1.062632,0.666427,0.936357,-3.472086,1.073860,0.578845,-3.388869,1.156870,0.575984,-3.160728,1.058418,0.581604,-3.116132,1.058167,0.476923,-3.113548,1.062632,0.666427,,,,,,,,,
2369,6.580556,0.006400,0.062511,0.008240,-0.997990,-3.250137,1.081817,0.576022,0.000000,-3.471941,1.073480,0.579015,0.930870,-3.388804,1.156568,0.576080,0.964587,-3.160568,1.058332,0.581640,0.912162,-3.116020,1.058077,0.476938,0.893179,-3.113353,1.062627,0.666439,0.936357,-3.471941,1.073480,0.579015,-3.388804,1.156568,0.576080,-3.160568,1.058332,0.581640,-3.116020,1.058077,0.476938,-3.113353,1.062627,0.666439,,,,,,,,,
2370,6.583333,0.005779,0.062845,0.008450,-0.997971,-3.250171,1.081754,0.575904,0.000000,-3.471981,1.073489,0.578735,0.932239,-3.388813,1.156551,0.575962,0.949380,-3.160614,1.058231,0.581553,0.906345,-3.115994,1.058094,0.476881,0.886143,-3.113455,1.062404,0.666389,0.952367,-3.471981,1.073489,0.578735,-3.388813,1.156551,0.575962,-3.160614,1.058231,0.581553,-3.115994,1.058094,0.476881,-3.113455,1.062404,0.666389,,,,,,,,,
2371,6.586111,0.005827,0.062891,0.008919,-0.997964,-3.250340,1.081900,0.575885,0.000000,-3.472157,1.073843,0.578695,0.918047,-3.388911,1.156828,0.575926,0.963804,-3.160805,1.058293,0.581543,0.925371,-3.116175,1.058110,0.476876,0.901735,-3.113651,1.062425,0.666384,0.909009,-3.472157,1.073843,0.578695,-3.388911,1.156828,0.575926,-3.160805,1.058293,0.581543,-3.116175,1.058110,0.476876,-3.113651,1.062425,0.666384,,,,,,,,,
2372,6.588889,0.005637,0.062918,0.008969,-0.997962,-3.250317,1.081926,0.575846,0.000000,-3.472134,1.073886,0.578640,0.923730,-3.388882,1.156865,0.575908,0.963431,-3.160784,1.058311,0.581501,0.902269,-3.116148,1.058164,0.476836,0.885289,-3.113634,1.062406,0.666346,0.908802,-3.472134,1.073886,0.578640,-3.388882,1.156865,0.575908,-3.160784,1.058311,0.581501,-3.116148,1.058164,0.476836,-3.113634,1.062406,0.666346,,,,,,,,,
2373,6.591667,0.005987,0.062818,0.009125,-0.997965,-3.250330,1.081936,0.575952,0.000000,-3.472150,1.073977,0.578797,0.933778,-3.388869,1.156924,0.575991,0.938224,-3.160805,1.058293,0.581604,0.921035,-3.116191,1.058059,0.476930,0.897698,-3.113636,1.062429,0.666437,0.968737,-3.472150,1.073977,0.578797,-3.388869,1.156924,0.575991,-3.160805,1.058293,0.581604,-3.116191,1.058059,0.476930,-3.113636,1.062429,0.666437,,,,,,,,,
2374,6.594444,0.005771,0.062914,0.009070,-0.997961,-3.250131,1.081936,0.576004,0.000000,-3.471951,1.073945,0.578803,0.933778,-3.388680,1.156905,0.576049,0.938224,-3.160603,1.058302,0.581664,0.921035,-3.115969,1.058119,0.476998,0.897698,-3.113452,1.062409,0.666508,0.968737,-3.471951,1.073945,0.578803,-3.388680,1.156905,0.576049,-3.160603,1.058302,0.581664,-3.115969,1.058119,0.476998,-3.113452,1.062409,0.666508,,,,,,,,,
2375,6.597222,0.005204,0.063021,0.009249,-0.997956,-3.250398,1.081928,0.575878,0.000000,-3.472221,1.073997,0.578617,0.938407,-3.388926,1.156937,0.575978,0.934452,-3.160879,1.058263,0.581531,0.931067,-3.116221,1.058187,0.476875,0.916511,-3.113745,1.062258,0.666390,0.961638,-3.472221,1.073997,0.578617,-3.388926,1.156937,0.575978,-3.160879,1.058263,0.581531,-3.116221,1.058187,0.476875,-3.113745,1.062258,0.666390,,,,,,,,,
2376,6.600000,0.006186,0.062672,0.009196,-0.997973,-3.250271,1.081914,0.575951,0.000000,-3.472092,1.073993,0.578864,0.934568,-3.388797,1.156925,0.576002,0.950008,-3.160748,1.058258,0.581585,0.923522,-3.116165,1.057976,0.476898,0.902682,-3.113554,1.062418,0.666403,0.960083,-3.472092,1.073993,0.578864,-3.388797,1.156925,0.576002,-3.160748,1.058258,0.581585,-3.116165,1.057976,0.476898,-3.113554,1.062418,0.666403,,,,,,,,,
2377,6.602778,0.006050,0.062917,0.009268,-0.997957,-3.250423,1.081941,0.575907,0.000000,-3.472246,1.074046,0.578708,0.891155,-3.388940,1.156969,0.575910,0.939264,-3.160906,1.058271,0.581579,0.859095,-3.116271,1.058013,0.476914,0.928853,-3.113753,1.062403,0.666421,0.904912,-3.472246,1.074046,0.578708,-3.388940,1.156969,0.575910,-3.160906,1.058271,0.581579,-3.116271,1.058013,0.476914,-3.113753,1.062403,0.666421,,,,,,,,,
2378,6.605556,0.006332,0.062371,0.008664,-0.997995,-3.250291,1.081963,0.575942,0.000000,-3.472101,1.073813,0.578994,0.927846,-3.388895,1.156831,0.576052,0.950480,-3.160740,1.058402,0.581530,0.906756,-3.116220,1.058130,0.476816,0.881044,-3.113498,1.062641,0.666318,0.942855,-3.472101,1.073813,0.578994,-3.388895,1.156831,0.576052,-3.160740,1.058402,0.581530,-3.116220,1.058130,0.476816,-3.113498,1.062641,0.666318,,,,,,,,,
2379,6.608333,0.006400,0.062505,0.008946,-0.997984,-3.250203,1.081958,0.575910,0.000000,-3.472018,1.073934,0.578903,0.926998,-3.388764,1.156904,0.575975,0.948651,-3.160666,1.058346,0.581524,0.906942,-3.116119,1.058038,0.476822,0.893329,-3.113445,1.062567,0.666324,0.933081,-3.472018,1.073934,0.578903,-3.388764,1.156904,0.575975,-3.160667,1.058346,0.581524,-3.116119,1.058038,0.476822,-3.113445,1.062567,0.666324,,,,,,,,,
2380,6.611111,0.005456,0.063254,0.009384,-0.997938,-3.250332,1.081916,0.575752,0.000000,-3.472158,1.074052,0.578392,0.926998,-3.388837,1.156966,0.575751,0.948651,-3.160823,1.058226,0.581458,0.906942,-3.116116,1.058086,0.476824,0.893329,-3.113727,1.062249,0.666337,0.933081,-3.472158,1.074052,0.578392,-3.388837,1.156966,0.575751,-3.160823,1.058226,0.581458,-3.116116,1.058086,0.476824,-3.113727,1.062249,0.666337,,,,,,,,,
2381,6.613889,0.005240,0.062848,0.008823,-0.997970,-3.250280,1.081957,0.575876,0.000000,-3.472095,1.073839,0.578694,0.902172,-3.388871,1.156849,0.576015,0.942092,-3.160739,1.058368,0.581500,0.886786,-3.116117,1.058317,0.476829,0.882524,-3.113579,1.062413,0.666342,0.860661,-3.472095,1.073839,0.578694,-3.388871,1.156849,0.576015,-3.160739,1.058368,0.581500,-3.116117,1.058317,0.476829,-3.113579,1.062413,0.666342,,,,,,,,,
2382,6.616667,0.005458,0.062741,0.009070,-0.997974,-3.250107,1.081914,0.576014,0.000000,-3.471925,1.073913,0.578883,0.934559,-3.388658,1.156878,0.576152,0.947346,-3.160576,1.058280,0.581628,0.915664,-3.115978,1.058164,0.476947,0.888444,-3.113396,1.062335,0.666458,0.964967,-3.471925,1.073913,0.578883,-3.388658,1.156878,0.576152,-3.160576,1.058280,0.581628,-3.115978,1.058164,0.476947,-3.113396,1.062335,0.666458,,,,,,,,,
2383,6.619444,0.005509,0.062616,0.009292,-0.997979,-3.250245,1.081920,0.575936,0.000000,-3.472066,1.074019,0.578861,0.917845,-3.388763,1.156946,0.576104,0.956802,-3.160724,1.058246,0.581530,0.915744,-3.116151,1.058102,0.476838,0.890605,-3.113521,1.062286,0.666348,0.889762,-3.472066,1.074019,0.578861,-3.388763,1.156946,0.576104,-3.160724,1.058246,0.581530,-3.116151,1.058102,0.476838,-3.113521,1.062286,0.666348,,,,,,,,,
2384,6.622222,0.005062,0.063142,0.009469,-0.997947,-3.250247,1.081976,0.575933,0.000000,-3.472073,1.074137,0.578614,0.904577,-3.388743,1.157043,0.576021,0.949446,-3.160738,1.058271,0.581600,0.894143,-3.116054,1.058210,0.476956,0.935702,-3.113624,1.062221,0.666472,0.936914,-3.472073,1.074137,0.578614,-3.388743,1.157043,0.576021,-3.160738,1.058271,0.581600,-3.116054,1.058210,0.476956,-3.113624,1.062221,0.666472,,,,,,,,,
2385,6.625000,0.006041,0.062502,0.007942,-0.997995,-3.250284,1.081694,0.575952,0.000000,-3.472083,1.073214,0.578943,0.875730,-3.388998,1.156356,0.576063,0.915742,-3.160699,1.058262,0.581552,0.865159,-3.116153,1.058107,0.476849,0.913886,-3.113485,1.062530,0.666353,0.919802,-3.472083,1.073214,0.578943,-3.388998,1.156356,0.576063,-3.160699,1.058262,0.581552,-3.116153,1.058107,0.476849,-3.113485,1.062530,0.666353,,,,,,,,,
2386,6.627778,0.005944,0.062430,0.008983,-0.997991,-3.250317,1.082010,0.575940,0.000000,-3.472133,1.073987,0.578957,0.875730,-3.388877,1.156959,0.576093,0.915742,-3.160781,1.058392,0.581521,0.865159,-3.116248,1.058179,0.476812,0.913886,-3.113547,1.062535,0.666317,0.919802,-3.472133,1.073987,0.578957,-3.388877,1.156959,0.576093,-3.160781,1.058392,0.581521,-3.116248,1.058179,0.476812,-3.113547,1.062535,0.666317,,,,,,,,,
2387,6.630556,0.005867,0.062769,0.008876,-0.997971,-3.250276,1.082010,0.575955,0.000000,-3.472092,1.073936,0.578820,0.875796,-3.388853,1.156927,0.576024,0.930023,-3.160738,1.058411,0.581593,0.875720,-3.116134,1.058222,0.476914,0.932573,-3.113563,1.062553,0.666422,0.915116,-3.472092,1.073936,0.578820,-3.388853,1.156927,0.576024,-3.160738,1.058411,0.581593,-3.116134,1.058222,0.476914,-3.113563,1.062553,0.666422,,,,,,,,,
2388,6.633333,0.005972,0.062647,0.009285,-0.997975,-3.250191,1.082029,0.575976,0.000000,-3.472013,1.074140,0.578896,0.917128,-3.388706,1.157061,0.576067,0.959030,-3.160672,1.058357,0.581597,0.933547,-3.116093,1.058114,0.476908,0.904605,-3.113473,1.062473,0.666414,0.982631,-3.472013,1.074140,0.578896,-3.388706,1.157061,0.576067,-3.160672,1.058357,0.581597,-3.116093,1.058114,0.476908,-3.113473,1.062473,0.666414,,,,,,,,,
2389,6.636111,0.005991,0.062537,0.009176,-0.997982,-3.250322,1.082008,0.576010,0.000000,-3.472141,1.074072,0.578980,0.935451,-3.388853,1.157011,0.576128,0.947841,-3.160796,1.058355,0.581612,0.924969,-3.116241,1.058118,0.476913,0.902361,-3.113579,1.062486,0.666419,0.960128,-3.472141,1.074072,0.578980,-3.388853,1.157011,0.576128,-3.160796,1.058355,0.581612,-3.116241,1.058118,0.476913,-3.113579,1.062486,0.666419,,,,,,,,,
2390,6.638889,0.005548,0.062799,0.009141,-0.997969,-3.250325,1.081999,0.575897,0.000000,-3.472145,1.074032,0.578742,0.928453,-3.388865,1.156983,0.576007,0.961298,-3.160799,1.058352,0.581526,0.911707,-3.116188,1.058212,0.476850,0.877634,-3.113628,1.062415,0.666361,0.941516,-3.472145,1.074032,0.578742,-3.388865,1.156983,0.576007,-3.160799,1.058352,0.581526,-3.116188,1.058212,0.476850,-3.113628,1.062415,0.666361,,,,,,,,,
2391,6.641667,0.005674,0.062980,0.008729,-0.997961,-3.250155,1.081764,0.575908,0.000000,-3.471970,1.073619,0.578677,0.928453,-3.388756,1.156637,0.575946,0.961298,-3.160612,1.058192,0.581576,0.911707,-3.115964,1.058055,0.476916,0.877634,-3.113474,1.062318,0.666427,0.941516,-3.471970,1.073619,0.578677,-3.388756,1.156637,0.575946,-3.160612,1.058192,0.581576,-3.115964,1.058055,0.476916,-3.113474,1.062318,0.666427,,,,,,,,,
2392,6.644444,0.006399,0.062757,0.008981,-0.997968,-3.250218,1.081945,0.575994,0.000000,-3.472036,1.073936,0.578875,0.928274,-3.388774,1.156901,0.575989,0.971501,-3.160686,1.058328,0.581654,0.926450,-3.116086,1.058017,0.476974,0.878666,-3.113507,1.062546,0.666477,0.901970,-3.472036,1.073936,0.578875,-3.388774,1.156901,0.575989,-3.160686,1.058328,0.581654,-3.116086,1.058017,0.476974,-3.113507,1.062546,0.666477,,,,,,,,,
2393,6.647222,0.006459,0.062593,0.008786,-0.997980,-3.250231,1.081936,0.575997,0.000000,-3.472045,1.073843,0.578953,0.934554,-3.388816,1.156839,0.576027,0.949611,-3.160689,1.058353,0.581631,0.927212,-3.116123,1.058044,0.476936,0.913932,-3.113483,1.062600,0.666438,0.961381,-3.472045,1.073843,0.578953,-3.388816,1.156839,0.576027,-3.160689,1.058353,0.581631,-3.116123,1.058044,0.476936,-3.113483,1.062600,0.666438,,,,,,,,,
2394,6.650000,0.006672,0.062612,0.008638,-0.997978,-3.250221,1.081990,0.575930,0.000000,-3.472033,1.073839,0.578882,0.938691,-3.388826,1.156856,0.575922,0.962816,-3.160672,1.058434,0.581577,0.926510,-3.116103,1.058091,0.476884,0.883286,-3.113471,1.062732,0.666383,0.956772,-3.472033,1.073839,0.578882,-3.388826,1.156856,0.575922,-3.160672,1.058434,0.581577,-3.116103,1.058091,0.476884,-3.113471,1.062732,0.666383,,,,,,,,,
2395,6.652778,0.006190,0.062567,0.008661,-0.997984,-3.250140,1.081951,0.575961,0.000000,-3.471952,1.073793,0.578923,0.928981,-3.388746,1.156814,0.576037,0.966565,-3.160591,1.058390,0.581578,0.931584,-3.116030,1.058149,0.476881,0.868741,-3.113383,1.062607,0.666385,0.935763,-3.471952,1.073793,0.578923,-3.388746,1.156814,0.576037,-3.160591,1.058390,0.581578,-3.116030,1.058149,0.476881,-3.113383,1.062607,0.666385,,,,,,,,,
2396,6.655556,0.005945,0.062838,0.009107,-0.997965,-3.250224,1.081936,0.575959,0.000000,-3.472044,1.073967,0.578794,0.935577,-3.388766,1.156918,0.575999,0.948769,-3.160698,1.058295,0.581613,0.925422,-3.116080,1.058072,0.476941,0.911947,-3.113533,1.062426,0.666448,0.961110,-3.472044,1.073967,0.578794,-3.388766,1.156918,0.575999,-3.160698,1.058295,0.581613,-3.116080,1.058072,0.476941,-3.113533,1.062426,0.666448,,,,,,,,,
2397,6.658333,0.006883,0.062484,0.008506,-0.997986,-3.250186,1.081971,0.575911,0.000000,-3.471995,1.073768,0.578924,0.935577,-3.388809,1.156803,0.575907,0.948769,-3.160630,1.058438,0.581545,0.925422,-3.116089,1.058059,0.476840,0.911947,-3.113408,1.062784,0.666337,0.961110,-3.471995,1.073768,0.578924,-3.388809,1.156803,0.575907,-3.160630,1.058438,0.581545,-3.116089,1.058059,0.476840,-3.113408,1.062784,0.666337,,,,,,,,,
2398,6.661111,0.006173,0.062684,0.008884,-0.997975,-3.250248,1.081984,0.575981,0.000000,-3.472064,1.073924,0.578890,0.938880,-3.388821,1.156909,0.576029,0.966198,-3.160711,1.058383,0.581618,0.945123,-3.116125,1.058129,0.476932,0.909182,-3.113520,1.062575,0.666437,0.963135,-3.472064,1.073924,0.578890,-3.388821,1.156909,0.576029,-3.160711,1.058383,0.581618,-3.116125,1.058129,0.476932,-3.113520,1.062575,0.666437,,,,,,,,,
2399,6.663889,0.006322,0.062768,0.008671,-0.997970,-3.250171,1.081835,0.575950,0.000000,-3.471984,1.073686,0.578825,0.944298,-3.388774,1.156703,0.575950,0.951832,-3.160625,1.058273,0.581609,0.931436,-3.116022,1.058002,0.476930,0.900031,-3.113450,1.062511,0.666434,0.964809,-3.471984,1.073686,0.578825,-3.388774,1.156703,0.575950,-3.160625,1.058273,0.581609,-3.116022,1.058002,0.476930,-3.113450,1.062511,0.666434,,,,,,,,,
2400,6.666667,0.005841,0.062556,0.008573,-0.997988,-3.250344,1.081754,0.575950,0.000000,-3.472154,1.073546,0.578910,0.872660,-3.388966,1.156587,0.576080,0.927717,-3.160789,1.058209,0.581549,0.866837,-3.116230,1.058049,0.476851,0.923638,-3.113580,1.062378,0.666358,0.921150,-3.472154,1.073546,0.578910,-3.388966,1.156587,0.576080,-3.160789,1.058209,0.581549,-3.116230,1.058049,0.476851,-3.113580,1.062378,0.666358,,,,,,,,,
2401,6.669444,0.006252,0.062759,0.009412,-0.997965,-3.250229,1.082047,0.575861,0.000000,-3.472054,1.074223,0.578736,0.918781,-3.388722,1.157119,0.575880,0.940709,-3.160717,1.058352,0.581514,0.898572,-3.116116,1.058039,0.476835,0.903493,-3.113536,1.062500,0.666339,0.955309,-3.472054,1.074223,0.578736,-3.388722,1.157119,0.575880,-3.160717,1.058352,0.581514,-3.116116,1.058039,0.476835,-3.113536,1.062500,0.666339,,,,,,,,,
2402,6.672222,0.005403,0.062569,0.009116,-0.997984,-3.250278,1.081958,0.576034,0.000000,-3.472096,1.073976,0.578978,0.918781,-3.388824,1.156934,0.576229,0.940709,-3.160748,1.058316,0.581614,0.898572,-3.116185,1.058209,0.476918,0.903493,-3.113538,1.062357,0.666429,0.955309,-3.472096,1.073976,0.578978,-3.388824,1.156934,0.576229,-3.160748,1.058316,0.581614,-3.116185,1.058209,0.476918,-3.113538,1.062357,0.666429,,,,,,,,,
