Format Version,1.22,Take Name,DavidFail2,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-03 09.17.49.319 AM,Total Frames in Take,7056,Total Exported Frames,7056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,0.004651,0.063366,0.009461,-0.997935,-3.250253,1.081996,0.575938,0.000000,-3.472080,1.074139,0.578512,0.930893,-3.388754,1.157052,0.576024,0.946732,-3.160746,1.058292,0.581627,0.919646,-3.116014,1.058319,0.477003,0.900442,-3.113671,1.062176,0.666524,0.971043,-3.472080,1.074139,0.578512,-3.388754,1.157052,0.576024,-3.160746,1.058292,0.581627,-3.116014,1.058319,0.477003,-3.113671,1.062176,0.666524,,,,,,,,,
17,0.047222,0.005045,0.062866,0.009160,-0.997967,-3.250334,1.081953,0.575979,0.000000,-3.472154,1.073978,0.578783,0.930893,-3.388876,1.156934,0.576144,0.946732,-3.160808,1.058303,0.581596,0.919646,-3.116182,1.058269,0.476927,0.900442,-3.113649,1.062281,0.666442,0.971043,-3.472154,1.073978,0.578783,-3.388876,1.156934,0.576144,-3.160808,1.058303,0.581596,-3.116182,1.058269,0.476927,-3.113649,1.062281,0.666442,,,,,,,,,
18,0.050000,0.005856,0.062472,0.008916,-0.997990,-3.250243,1.081964,0.575983,0.000000,-3.472058,1.073909,0.578981,0.929707,-3.388814,1.156893,0.576138,0.953912,-3.160704,1.058358,0.581568,0.909462,-3.116162,1.058168,0.476863,0.885115,-3.113478,1.062493,0.666369,0.931032,-3.472058,1.073909,0.578981,-3.388814,1.156893,0.576138,-3.160704,1.058358,0.581568,-3.116162,1.058168,0.476863,-3.113478,1.062493,0.666369,,,,,,,,,
19,0.052778,0.005270,0.062789,0.008994,-0.997972,-3.250273,1.081924,0.575960,0.000000,-3.472090,1.073883,0.578804,0.893524,-3.388838,1.156863,0.576112,0.931108,-3.160739,1.058304,0.581574,0.879588,-3.116130,1.058234,0.476898,0.875862,-3.113568,1.062337,0.666411,0.829582,-3.472090,1.073883,0.578804,-3.388838,1.156863,0.576112,-3.160739,1.058304,0.581574,-3.116130,1.058234,0.476898,-3.113568,1.062337,0.666411,,,,,,,,,
20,0.055556,0.006537,0.062492,0.009196,-0.997982,-3.250315,1.082048,0.575881,0.000000,-3.472135,1.074139,0.578881,0.878820,-3.388838,1.157065,0.575931,0.938623,-3.160791,1.058391,0.581499,0.865000,-3.116247,1.058035,0.476796,0.935803,-3.113566,1.062608,0.666296,0.914108,-3.472135,1.074139,0.578881,-3.388838,1.157065,0.575931,-3.160791,1.058391,0.581499,-3.116247,1.058035,0.476796,-3.113566,1.062608,0.666296,,,,,,,,,
21,0.058333,0.005692,0.062496,0.009219,-0.997986,-3.250255,1.081993,0.576021,0.000000,-3.472075,1.074066,0.579003,0.936226,-3.388782,1.157003,0.576195,0.948517,-3.160730,1.058332,0.581601,0.921948,-3.116182,1.058156,0.476899,0.902979,-3.113506,1.062409,0.666407,0.958899,-3.472075,1.074066,0.579003,-3.388782,1.157003,0.576195,-3.160730,1.058332,0.581601,-3.116182,1.058156,0.476899,-3.113506,1.062409,0.666407,,,,,,,,,
22,0.061111,0.005356,0.063052,0.009626,-0.997949,-3.250249,1.082037,0.575935,0.000000,-3.472078,1.074278,0.578662,0.932773,-3.388719,1.157153,0.576006,0.943778,-3.160748,1.058304,0.581600,0.909310,-3.116083,1.058167,0.476947,0.908749,-3.113617,1.062285,0.666461,0.952082,-3.472078,1.074278,0.578662,-3.388719,1.157153,0.576006,-3.160748,1.058304,0.581600,-3.116083,1.058167,0.476947,-3.113617,1.062285,0.666461,,,,,,,,,
23,0.063889,0.005883,0.062733,0.009183,-0.997971,-3.250193,1.081971,0.576058,0.000000,-3.472013,1.074034,0.578938,0.932773,-3.388724,1.156973,0.576137,0.943778,-3.160669,1.058317,0.581689,0.909310,-3.116072,1.058102,0.477008,0.908749,-3.113486,1.062429,0.666515,0.952082,-3.472013,1.074034,0.578938,-3.388724,1.156973,0.576137,-3.160669,1.058317,0.581689,-3.116072,1.058102,0.477008,-3.113486,1.062429,0.666515,,,,,,,,,
24,0.066667,0.005897,0.062653,0.009207,-0.997975,-3.250246,1.081962,0.576066,0.000000,-3.472066,1.074036,0.578982,0.936502,-3.388773,1.156971,0.576166,0.948361,-3.160722,1.058303,0.581684,0.924755,-3.116143,1.058083,0.476996,0.910845,-3.113525,1.062415,0.666503,0.961647,-3.472066,1.074036,0.578982,-3.388773,1.156971,0.576166,-3.160722,1.058303,0.581684,-3.116143,1.058083,0.476996,-3.113525,1.062415,0.666503,,,,,,,,,
25,0.069444,0.005427,0.062590,0.009040,-0.997984,-3.250301,1.081971,0.576020,0.000000,-3.472118,1.073956,0.578955,0.936667,-3.388858,1.156926,0.576205,0.950288,-3.160768,1.058342,0.581605,0.926194,-3.116201,1.058236,0.476911,0.911696,-3.113562,1.062395,0.666422,0.962556,-3.472118,1.073956,0.578955,-3.388858,1.156926,0.576205,-3.160768,1.058342,0.581605,-3.116201,1.058236,0.476911,-3.113562,1.062395,0.666422,,,,,,,,,
