Format Version,1.22,Take Name,day 2 back right triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.10.08.679 AM,Total Frames in Take,1339,Total Exported Frames,1339,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,-0.003730,0.105272,-0.123248,-0.986769,2.483806,0.167555,0.859819,0.000000,2.472100,0.163079,0.870021,0.942021,2.429361,0.159154,0.724476,0.931142,2.568211,0.181416,0.867650,0.909108,2.465551,0.166573,0.977130,0.872093,2.472100,0.163079,0.870021,2.429361,0.159154,0.724476,2.568211,0.181416,0.867650,2.465551,0.166573,0.977130,-3.105344,1.292438,-4.832614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.047222,-0.002660,0.104657,-0.126402,-0.986439,2.483436,0.168196,0.859752,0.000000,2.471766,0.163678,0.869977,0.927805,2.428928,0.159067,0.724481,0.953954,2.567761,0.182593,0.867469,0.914581,2.465287,0.167445,0.977081,0.902755,2.471766,0.163678,0.869977,2.428928,0.159067,0.724481,2.567761,0.182593,0.867469,2.465287,0.167445,0.977081,-3.105328,1.292477,-4.832626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.050000,-0.002519,0.104674,-0.126299,-0.986451,2.483448,0.168191,0.859814,0.000000,2.471776,0.163678,0.870039,0.951669,2.428947,0.159042,0.724542,0.958810,2.567776,0.182570,0.867533,0.918744,2.465291,0.167475,0.977143,0.889345,2.471776,0.163678,0.870039,2.428947,0.159042,0.724542,2.567777,0.182570,0.867533,2.465291,0.167475,0.977143,-3.105280,1.292579,-4.832549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.052778,-0.005242,0.104936,-0.127634,-0.986241,2.483461,0.167839,0.859799,0.000000,2.471806,0.163236,0.870002,0.951669,2.428973,0.159210,0.724488,0.958810,2.567743,0.182452,0.867583,0.918744,2.465322,0.166458,0.977124,0.889345,2.471806,0.163236,0.870002,2.428973,0.159210,0.724488,2.567743,0.182452,0.867583,2.465322,0.166458,0.977124,-3.105331,1.292785,-4.832565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.055556,-0.004490,0.105315,-0.126986,-0.986288,2.483209,0.167904,0.859946,0.000000,2.471538,0.163330,0.870144,0.957738,2.428834,0.159184,0.724595,0.959000,2.567506,0.182404,0.867789,0.947047,2.464960,0.166696,0.977256,0.925530,2.471538,0.163330,0.870144,2.428834,0.159184,0.724595,2.567506,0.182404,0.867789,2.464960,0.166696,0.977256,-3.105401,1.292791,-4.832548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.058333,-0.005196,0.105006,-0.128037,-0.986181,2.483532,0.167875,0.859808,0.000000,2.471879,0.163264,0.870010,0.954057,2.429074,0.159181,0.724489,0.959268,2.567802,0.182557,0.867603,0.940160,2.465375,0.166498,0.977130,0.936340,2.471879,0.163264,0.870010,2.429074,0.159181,0.724489,2.567802,0.182557,0.867603,2.465375,0.166498,0.977130,-3.105321,1.292796,-4.832510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.061111,-0.004936,0.105047,-0.127623,-0.986232,2.483514,0.167952,0.859776,0.000000,2.471856,0.163355,0.869979,0.954057,2.429066,0.159250,0.724454,0.959268,2.567796,0.182563,0.867577,0.940160,2.465340,0.166640,0.977097,0.936340,2.471856,0.163355,0.869979,2.429066,0.159250,0.724454,2.567796,0.182563,0.867577,2.465340,0.166640,0.977097,-3.105382,1.292793,-4.832522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.063889,-0.000733,0.106957,-0.125084,-0.986364,2.483620,0.168048,0.859713,0.000000,2.471886,0.163595,0.869892,0.927009,2.429767,0.158684,0.724196,0.954120,2.567949,0.182216,0.867812,0.918061,2.464879,0.167698,0.976951,0.908322,2.471886,0.163595,0.869892,2.429767,0.158684,0.724196,2.567949,0.182216,0.867812,2.464879,0.167698,0.976951,-3.105290,1.292860,-4.832498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.066667,-0.001443,0.107239,-0.123778,-0.986497,2.483835,0.168119,0.859768,0.000000,2.472086,0.163677,0.869936,0.927009,2.430006,0.159124,0.724217,0.954120,2.568196,0.182064,0.867922,0.918061,2.465052,0.167610,0.976999,0.908322,2.472086,0.163677,0.869936,2.430006,0.159124,0.724217,2.568196,0.182064,0.867922,2.465052,0.167610,0.976999,-3.105334,1.292975,-4.832463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.069444,-0.000852,0.106799,-0.124882,-0.986407,2.483830,0.167999,0.859766,0.000000,2.472098,0.163548,0.869949,0.931984,2.429926,0.158688,0.724267,0.964467,2.568168,0.182132,0.867839,0.926021,2.465131,0.167628,0.977011,0.898429,2.472098,0.163548,0.869949,2.429926,0.158688,0.724267,2.568168,0.182132,0.867839,2.465131,0.167628,0.977011,-3.105321,1.292999,-4.832432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.072222,-0.001890,0.106521,-0.125948,-0.986300,2.483965,0.167810,0.859729,0.000000,2.472251,0.163314,0.869912,0.919188,2.429976,0.158609,0.724255,0.906503,2.568275,0.182128,0.867761,0.946159,2.465358,0.167191,0.976987,0.863961,2.472251,0.163314,0.869912,2.429976,0.158609,0.724255,2.568275,0.182128,0.867761,2.465358,0.167191,0.976987,-3.105329,1.293055,-4.832376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
