,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.058333,-0.003162,0.007326,0.008632,-0.999931,0.330382,0.168664,-0.149560,0.000000,0.320125,0.167087,-0.137173,0.861809,0.250448,0.178484,-0.271489,0.793584,0.415351,0.159955,-0.158629,0.918900,0.335607,0.169130,-0.030949,0.886920,0.320125,0.167087,-0.137173,0.250448,0.178484,-0.271489,0.415351,0.159955,-0.158629,0.335607,0.169130,-0.030949
22,0.061111,-0.004975,0.006704,0.007567,-0.999937,0.330428,0.168595,-0.149565,0.000000,0.320188,0.166950,-0.137172,0.861809,0.250325,0.178683,-0.271361,0.793584,0.415404,0.160103,-0.158768,0.918900,0.335795,0.168643,-0.030960,0.886920,0.320188,0.166950,-0.137172,0.250325,0.178683,-0.271361,0.415404,0.160103,-0.158768,0.335795,0.168643,-0.030960
23,0.063889,-0.003903,0.006591,0.008590,-0.999934,0.330460,0.168604,-0.149525,0.000000,0.320220,0.167007,-0.137126,0.949729,0.250346,0.178598,-0.271322,0.945834,0.415415,0.159918,-0.158731,0.977548,0.335857,0.168894,-0.030921,0.964272,0.320220,0.167007,-0.137126,0.250346,0.178598,-0.271322,0.415415,0.159918,-0.158731,0.335857,0.168894,-0.030921
24,0.066667,-0.005390,0.007595,0.007731,-0.999927,0.330288,0.168496,-0.149606,0.000000,0.320026,0.166845,-0.137232,0.949729,0.250406,0.178711,-0.271536,0.945834,0.415277,0.159983,-0.158663,0.977548,0.335443,0.168445,-0.030990,0.964272,0.320026,0.166845,-0.137232,0.250406,0.178711,-0.271536,0.415277,0.159983,-0.158663,0.335443,0.168445,-0.030990
25,0.069444,-0.001819,0.007172,0.009522,-0.999927,0.330474,0.168689,-0.149626,0.000000,0.320217,0.167163,-0.137232,0.928690,0.250516,0.178327,-0.271553,0.920915,0.415423,0.159803,-0.158700,0.970815,0.335739,0.169462,-0.031018,0.851744,0.320217,0.167163,-0.137232,0.250516,0.178327,-0.271553,0.415423,0.159803,-0.158700,0.335739,0.169462,-0.031018
26,0.072222,-0.006812,0.007696,0.006068,-0.999929,0.330242,0.168323,-0.149560,0.000000,0.319983,0.166602,-0.137194,0.799167,0.250355,0.178614,-0.271482,0.852651,0.415261,0.160120,-0.158621,0.892162,0.335369,0.167955,-0.030945,0.844644,0.319983,0.166602,-0.137194,0.250355,0.178614,-0.271482,0.415261,0.160120,-0.158621,0.335369,0.167955,-0.030945
27,0.075000,-0.006456,0.007305,0.006702,-0.999930,0.330322,0.168393,-0.149561,0.000000,0.320070,0.166695,-0.137185,0.799167,0.250351,0.178701,-0.271425,0.852651,0.415323,0.160077,-0.158683,0.892162,0.335543,0.168102,-0.030949,0.844644,0.320070,0.166695,-0.137185,0.250351,0.178701,-0.271425,0.415323,0.160077,-0.158683,0.335543,0.168102,-0.030949
28,0.077778,-0.005411,0.006855,0.007470,-0.999934,0.330439,0.168436,-0.149447,0.000000,0.320196,0.166779,-0.137059,0.823377,0.250371,0.178615,-0.271259,0.891493,0.415419,0.159969,-0.158631,0.922964,0.335769,0.168383,-0.030840,0.853368,0.320196,0.166779,-0.137059,0.250371,0.178615,-0.271259,0.415419,0.159969,-0.158631,0.335769,0.168383,-0.030840
29,0.080556,-0.004939,0.006993,0.009370,-0.999920,0.330415,0.168477,-0.149607,0.000000,0.320163,0.166871,-0.137220,0.923856,0.250417,0.178848,-0.271449,0.901182,0.415365,0.159678,-0.158762,0.881545,0.335716,0.168513,-0.030998,0.956485,0.320163,0.166871,-0.137220,0.250417,0.178848,-0.271449,0.415365,0.159678,-0.158762,0.335716,0.168513,-0.030998
30,0.083333,-0.004746,0.007226,0.007728,-0.999933,0.330397,0.168864,-0.149456,0.000000,0.320145,0.167229,-0.137073,0.923856,0.250424,0.178923,-0.271340,0.901182,0.415380,0.160340,-0.158567,0.881545,0.335641,0.168966,-0.030845,0.956485,0.320145,0.167229,-0.137073,0.250424,0.178923,-0.271340,0.415380,0.160340,-0.158567,0.335641,0.168966,-0.030845
