,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1045,2.902778,-0.005035,0.006257,0.008184,-0.999934,0.330425,0.168580,-0.149561,0.000000,0.320195,0.166946,-0.137159,0.911898,0.250225,0.178783,-0.271284,0.870384,0.415382,0.159985,-0.158841,0.854102,0.335899,0.168605,-0.030960,0.969814,0.320195,0.166946,-0.137159,0.250225,0.178783,-0.271284,0.415382,0.159985,-0.158841,0.335899,0.168605,-0.030960
1046,2.905556,-0.003717,0.007992,0.007373,-0.999934,0.329913,0.168784,-0.149581,0.000000,0.319643,0.167167,-0.137210,0.911898,0.250119,0.178534,-0.271607,0.870384,0.414916,0.160299,-0.158545,0.854102,0.334977,0.169135,-0.030963,0.969814,0.319643,0.167167,-0.137210,0.250119,0.178534,-0.271607,0.414915,0.160299,-0.158545,0.334977,0.169135,-0.030963
1047,2.908333,-0.005674,0.007413,0.006051,-0.999938,0.330155,0.168880,-0.149438,0.000000,0.319903,0.167188,-0.137062,0.926493,0.250197,0.178893,-0.271336,0.926743,0.415169,0.160659,-0.158529,0.978316,0.335351,0.168783,-0.030825,0.866949,0.319903,0.167188,-0.137062,0.250197,0.178893,-0.271336,0.415169,0.160659,-0.158529,0.335351,0.168783,-0.030825
1048,2.911111,-0.003584,0.007299,0.008016,-0.999935,0.330298,0.168835,-0.149598,0.000000,0.320043,0.167234,-0.137213,0.900326,0.250346,0.178658,-0.271515,0.873779,0.415277,0.160239,-0.158678,0.869768,0.335527,0.169208,-0.030987,0.855093,0.320043,0.167234,-0.137213,0.250346,0.178658,-0.271515,0.415277,0.160239,-0.158678,0.335527,0.169208,-0.030987
1049,2.913889,-0.005062,0.007240,0.008937,-0.999921,0.330294,0.168431,-0.149586,0.000000,0.320037,0.166813,-0.137204,0.900326,0.250348,0.178762,-0.271465,0.873779,0.415256,0.159708,-0.158700,0.869768,0.335535,0.168443,-0.030974,0.855093,0.320037,0.166813,-0.137204,0.250348,0.178762,-0.271465,0.415256,0.159708,-0.158700,0.335535,0.168443,-0.030974
1050,2.916667,-0.003020,0.006302,0.010909,-0.999916,0.330310,0.168674,-0.149652,0.000000,0.320070,0.167146,-0.137244,0.978379,0.250169,0.178830,-0.271417,0.975502,0.415218,0.159577,-0.158894,0.985745,0.335781,0.169143,-0.031052,0.984770,0.320070,0.167146,-0.137244,0.250169,0.178830,-0.271417,0.415218,0.159577,-0.158894,0.335781,0.169143,-0.031052
1051,2.919444,-0.004658,0.006678,0.006928,-0.999943,0.330062,0.168694,-0.149435,0.000000,0.319825,0.167044,-0.137040,0.978379,0.249940,0.178602,-0.271233,0.975502,0.415048,0.160304,-0.158636,0.985745,0.335435,0.168825,-0.030829,0.984770,0.319825,0.167044,-0.137040,0.249940,0.178602,-0.271233,0.415048,0.160304,-0.158636,0.335435,0.168825,-0.030829
1052,2.922222,-0.002976,0.008245,0.007743,-0.999932,0.330134,0.169019,-0.149566,0.000000,0.319856,0.167428,-0.137198,0.842763,0.250406,0.178649,-0.271646,0.917350,0.415134,0.160457,-0.158476,0.926810,0.335139,0.169541,-0.030946,0.958106,0.319856,0.167428,-0.137198,0.250406,0.178649,-0.271646,0.415134,0.160457,-0.158476,0.335139,0.169541,-0.030946
1053,2.925000,-0.002817,0.006036,0.010186,-0.999926,0.330229,0.168635,-0.149509,0.000000,0.319999,0.167097,-0.137095,0.930227,0.250009,0.178625,-0.271236,0.914573,0.415146,0.159656,-0.158793,0.961146,0.335763,0.169161,-0.030912,0.835877,0.319999,0.167097,-0.137095,0.250009,0.178625,-0.271236,0.415146,0.159656,-0.158793,0.335763,0.169161,-0.030912
1054,2.927778,-0.005037,0.007001,0.008247,-0.999929,0.330174,0.168694,-0.149646,0.000000,0.319925,0.167062,-0.137259,0.930227,0.250156,0.178907,-0.271487,0.914573,0.415144,0.160087,-0.158799,0.961146,0.335472,0.168720,-0.031037,0.835877,0.319925,0.167062,-0.137259,0.250156,0.178907,-0.271487,0.415144,0.160087,-0.158799,0.335472,0.168720,-0.031037
1055,2.930556,-0.006054,0.006743,0.010105,-0.999908,0.330398,0.168523,-0.149499,0.000000,0.320149,0.166903,-0.137110,0.907705,0.250356,0.179283,-0.271278,0.852699,0.415330,0.159621,-0.158714,0.875608,0.335756,0.168284,-0.030893,0.875303,0.320149,0.166903,-0.137110,0.250356,0.179283,-0.271278,0.415330,0.159621,-0.158714,0.335756,0.168284,-0.030893
1056,2.933333,-0.006399,0.006716,0.007686,-0.999928,0.329892,0.168715,-0.149580,0.000000,0.319651,0.167038,-0.137192,0.907705,0.249796,0.179168,-0.271351,0.852699,0.414866,0.160231,-0.158803,0.875608,0.335253,0.168424,-0.030974,0.875303,0.319651,0.167038,-0.137192,0.249796,0.179168,-0.271350,0.414866,0.160231,-0.158803,0.335253,0.168424,-0.030975
1057,2.936111,-0.004729,0.006465,0.008427,-0.999932,0.330311,0.168680,-0.149584,0.000000,0.320074,0.167059,-0.137186,0.907705,0.250165,0.178848,-0.271346,0.852699,0.415267,0.160037,-0.158824,0.875608,0.335736,0.168775,-0.030981,0.875303,0.320074,0.167059,-0.137186,0.250165,0.178848,-0.271346,0.415267,0.160037,-0.158824,0.335736,0.168775,-0.030981
1058,2.938889,-0.007439,0.007446,0.006596,-0.999923,0.330126,0.168503,-0.149527,0.000000,0.319871,0.166777,-0.137158,0.884242,0.250189,0.179031,-0.271396,0.936545,0.415132,0.160223,-0.158641,0.873986,0.335312,0.167980,-0.030915,0.921836,0.319871,0.166777,-0.137158,0.250189,0.179031,-0.271396,0.415132,0.160223,-0.158641,0.335312,0.167980,-0.030915
1059,2.941667,-0.006615,0.006387,0.007144,-0.999932,0.330247,0.168732,-0.149566,0.000000,0.320017,0.167038,-0.137172,0.884242,0.250062,0.179149,-0.271280,0.936545,0.415225,0.160344,-0.158848,0.873986,0.335686,0.168396,-0.030964,0.921836,0.320017,0.167038,-0.137172,0.250062,0.179149,-0.271280,0.415225,0.160344,-0.158848,0.335686,0.168396,-0.030964
1060,2.944444,-0.004015,0.007607,0.006937,-0.999939,0.330214,0.168814,-0.149466,0.000000,0.319954,0.167181,-0.137088,0.884242,0.250317,0.178566,-0.271425,0.936545,0.415216,0.160409,-0.158499,0.873986,0.335367,0.169099,-0.030851,0.921836,0.319954,0.167181,-0.137088,0.250317,0.178566,-0.271425,0.415216,0.160409,-0.158499,0.335367,0.169099,-0.030851
1061,2.947222,-0.004603,0.006758,0.008076,-0.999934,0.330418,0.168613,-0.149545,0.000000,0.320175,0.166988,-0.137152,0.929253,0.250337,0.178693,-0.271356,0.909403,0.415385,0.160027,-0.158733,0.882053,0.335773,0.168743,-0.030939,0.969788,0.320175,0.166988,-0.137152,0.250337,0.178693,-0.271356,0.415385,0.160027,-0.158733,0.335773,0.168743,-0.030939
1062,2.950000,-0.002790,0.007266,0.009290,-0.999927,0.330301,0.168839,-0.149579,0.000000,0.320043,0.167284,-0.137190,0.929253,0.250363,0.178675,-0.271504,0.909403,0.415256,0.160011,-0.158652,0.882053,0.335542,0.169385,-0.030969,0.969788,0.320043,0.167284,-0.137190,0.250363,0.178675,-0.271504,0.415256,0.160011,-0.158652,0.335542,0.169385,-0.030969
1063,2.952778,-0.005158,0.007342,0.006905,-0.999936,0.330236,0.168638,-0.149555,0.000000,0.319982,0.166976,-0.137176,0.964369,0.250276,0.178663,-0.271451,0.975396,0.415234,0.160261,-0.158652,0.990652,0.335450,0.168652,-0.030943,0.972584,0.319982,0.166976,-0.137176,0.250276,0.178663,-0.271451,0.415234,0.160261,-0.158652,0.335450,0.168652,-0.030943
1064,2.955556,-0.004154,0.007295,0.007522,-0.999936,0.330261,0.168974,-0.149456,0.000000,0.320007,0.167349,-0.137072,0.940436,0.250300,0.178855,-0.271362,0.923811,0.415248,0.160473,-0.158545,0.948895,0.335490,0.169218,-0.030844,0.840745,0.320007,0.167349,-0.137072,0.250300,0.178855,-0.271362,0.415248,0.160473,-0.158545,0.335490,0.169218,-0.030844
1065,2.958333,-0.006786,0.006158,0.007168,-0.999932,0.330152,0.168662,-0.149393,0.000000,0.319927,0.166964,-0.136995,0.940436,0.249911,0.179126,-0.271066,0.923811,0.415125,0.160274,-0.158716,0.948895,0.335645,0.168285,-0.030793,0.840745,0.319927,0.166964,-0.136995,0.249911,0.179126,-0.271066,0.415125,0.160274,-0.158716,0.335645,0.168285,-0.030793
1066,2.961111,-0.005443,0.006945,0.007957,-0.999929,0.330285,0.168739,-0.149575,0.000000,0.320038,0.167091,-0.137189,0.855232,0.250249,0.179004,-0.271400,0.946425,0.415259,0.160189,-0.158744,0.941052,0.335594,0.168671,-0.030967,0.962923,0.320038,0.167091,-0.137189,0.250249,0.179004,-0.271401,0.415259,0.160189,-0.158744,0.335594,0.168671,-0.030967
1067,2.963889,-0.005530,0.005501,0.008462,-0.999934,0.330160,0.168873,-0.149585,0.000000,0.319947,0.167233,-0.137170,0.855232,0.249782,0.179242,-0.271177,0.946425,0.415098,0.160241,-0.159002,0.941052,0.335812,0.168776,-0.030993,0.962923,0.319947,0.167233,-0.137170,0.249782,0.179242,-0.271177,0.415098,0.160241,-0.159002,0.335812,0.168776,-0.030993
1068,2.966667,-0.005357,0.006861,0.007887,-0.999931,0.330307,0.168662,-0.149443,0.000000,0.320063,0.167015,-0.137055,0.835224,0.250249,0.178895,-0.271257,0.919099,0.415280,0.160123,-0.158626,0.926500,0.335637,0.168616,-0.030836,0.947287,0.320063,0.167015,-0.137055,0.250249,0.178895,-0.271257,0.415280,0.160123,-0.158626,0.335637,0.168616,-0.030836
1069,2.969444,-0.005762,0.006847,0.008145,-0.999927,0.330295,0.168702,-0.149536,0.000000,0.320050,0.167049,-0.137149,0.884662,0.250239,0.179074,-0.271340,0.848673,0.415264,0.160127,-0.158728,0.862984,0.335627,0.168556,-0.030929,0.854103,0.320050,0.167049,-0.137149,0.250239,0.179074,-0.271340,0.415264,0.160127,-0.158728,0.335627,0.168556,-0.030929
1070,2.972222,-0.003546,0.007131,0.009006,-0.999928,0.330198,0.168924,-0.149615,0.000000,0.319944,0.167344,-0.137226,0.884662,0.250224,0.178898,-0.271505,0.848673,0.415156,0.160159,-0.158724,0.862984,0.335469,0.169294,-0.031006,0.854103,0.319944,0.167344,-0.137226,0.250224,0.178898,-0.271505,0.415156,0.160159,-0.158724,0.335469,0.169294,-0.031006
1071,2.975000,-0.005249,0.007983,0.007779,-0.999924,0.330138,0.168697,-0.149671,0.000000,0.319866,0.167050,-0.137305,0.822454,0.250352,0.178885,-0.271666,0.873058,0.415134,0.160173,-0.158660,0.907510,0.335202,0.168680,-0.031051,0.825774,0.319866,0.167050,-0.137305,0.250352,0.178885,-0.271666,0.415134,0.160173,-0.158660,0.335202,0.168680,-0.031051
1072,2.977778,-0.005108,0.006106,0.008724,-0.999930,0.330216,0.168853,-0.149568,0.000000,0.319987,0.167229,-0.137163,0.909640,0.249989,0.179162,-0.271265,0.868227,0.415160,0.160168,-0.158876,0.851101,0.335726,0.168854,-0.030969,0.976886,0.319987,0.167229,-0.137163,0.249989,0.179162,-0.271265,0.415160,0.160168,-0.158876,0.335726,0.168854,-0.030969
1073,2.980556,-0.002337,0.007572,0.010055,-0.999918,0.330112,0.168911,-0.149727,0.000000,0.319843,0.167383,-0.137342,0.909640,0.250262,0.178760,-0.271709,0.868227,0.415059,0.159945,-0.158741,0.851101,0.335282,0.169556,-0.031114,0.976886,0.319843,0.167383,-0.137342,0.250262,0.178760,-0.271709,0.415059,0.159945,-0.158741,0.335282,0.169556,-0.031114
1074,2.983333,-0.006093,0.008182,0.007630,-0.999919,0.330256,0.168475,-0.149592,0.000000,0.319979,0.166805,-0.137233,0.817533,0.250516,0.178844,-0.271603,0.889581,0.415257,0.159993,-0.158561,0.923210,0.335270,0.168260,-0.030971,0.851524,0.319979,0.166805,-0.137233,0.250516,0.178844,-0.271603,0.415257,0.159993,-0.158561,0.335270,0.168260,-0.030971
1075,2.986111,-0.005070,0.007408,0.007814,-0.999929,0.330335,0.168695,-0.149616,0.000000,0.320078,0.167053,-0.137238,0.817533,0.250408,0.178846,-0.271523,0.889581,0.415320,0.160162,-0.158701,0.923210,0.335535,0.168719,-0.031003,0.851524,0.320078,0.167053,-0.137238,0.250408,0.178846,-0.271523,0.415320,0.160162,-0.158701,0.335535,0.168719,-0.031003
1076,2.988889,-0.004140,0.007777,0.007275,-0.999935,0.330110,0.168927,-0.149510,0.000000,0.319845,0.167298,-0.137136,0.866532,0.250261,0.178765,-0.271494,0.827463,0.415110,0.160468,-0.158517,0.901456,0.335223,0.169179,-0.030893,0.838803,0.319845,0.167298,-0.137136,0.250261,0.178765,-0.271494,0.415110,0.160468,-0.158517,0.335223,0.169179,-0.030893
1077,2.991667,-0.003501,0.006689,0.009096,-0.999930,0.330279,0.168793,-0.149576,0.000000,0.320035,0.167217,-0.137177,0.913314,0.250198,0.178772,-0.271396,0.900287,0.415227,0.160013,-0.158759,0.956680,0.335654,0.169172,-0.030971,0.887740,0.320035,0.167217,-0.137177,0.250198,0.178772,-0.271396,0.415227,0.160013,-0.158759,0.335654,0.169172,-0.030971
1078,2.994444,-0.006319,0.006815,0.007043,-0.999932,0.330161,0.168625,-0.149485,0.000000,0.319920,0.166937,-0.137099,0.913314,0.250077,0.178955,-0.271273,0.900287,0.415148,0.160249,-0.158689,0.956680,0.335499,0.168361,-0.030878,0.887740,0.319920,0.166937,-0.137099,0.250077,0.178955,-0.271273,0.415148,0.160249,-0.158689,0.335499,0.168361,-0.030878
1079,2.997222,-0.006287,0.007234,0.006613,-0.999932,0.330212,0.168758,-0.149534,0.000000,0.319962,0.167062,-0.137156,0.928822,0.250222,0.179010,-0.271391,0.921181,0.415213,0.160453,-0.158666,0.973303,0.335449,0.168508,-0.030923,0.850672,0.319962,0.167062,-0.137156,0.250222,0.179010,-0.271391,0.415213,0.160453,-0.158666,0.335449,0.168508,-0.030923
1080,3.000000,-0.005282,0.007163,0.009157,-0.999918,0.330405,0.168794,-0.149477,0.000000,0.320150,0.167175,-0.137095,0.928050,0.250445,0.179214,-0.271340,0.909191,0.415362,0.160038,-0.158608,0.883553,0.335665,0.168751,-0.030867,0.967700,0.320150,0.167175,-0.137095,0.250445,0.179214,-0.271340,0.415362,0.160038,-0.158608,0.335665,0.168751,-0.030867
1081,3.002778,-0.003335,0.007120,0.009346,-0.999925,0.330183,0.168834,-0.149638,0.000000,0.319928,0.167267,-0.137248,0.928050,0.250212,0.178812,-0.271530,0.909191,0.415135,0.160008,-0.158745,0.883553,0.335458,0.169250,-0.031029,0.967700,0.319928,0.167267,-0.137248,0.250212,0.178812,-0.271530,0.415135,0.160008,-0.158745,0.335458,0.169250,-0.031029
1082,3.005556,-0.006408,0.007095,0.007957,-0.999923,0.330071,0.168534,-0.149743,0.000000,0.319820,0.166862,-0.137363,0.929957,0.250073,0.179033,-0.271573,0.910978,0.415047,0.160003,-0.158902,0.879934,0.335343,0.168238,-0.031133,0.967639,0.319820,0.166862,-0.137363,0.250073,0.179033,-0.271573,0.415047,0.160003,-0.158902,0.335343,0.168238,-0.031133
1083,3.008333,-0.002423,0.007121,0.009704,-0.999925,0.330028,0.168999,-0.149732,0.000000,0.319772,0.167461,-0.137339,0.929957,0.250062,0.178813,-0.271640,0.910978,0.414973,0.160094,-0.158825,0.879934,0.335304,0.169626,-0.031124,0.967639,0.319772,0.167461,-0.137339,0.250062,0.178813,-0.271640,0.414973,0.160094,-0.158825,0.335304,0.169626,-0.031124
1084,3.011111,-0.005075,0.005929,0.009409,-0.999925,0.330218,0.168843,-0.149633,0.000000,0.319992,0.167233,-0.137225,0.898028,0.249962,0.179255,-0.271302,0.930301,0.415147,0.160041,-0.158971,0.848295,0.335771,0.168843,-0.031036,0.917971,0.319992,0.167233,-0.137225,0.249962,0.179255,-0.271302,0.415147,0.160041,-0.158971,0.335771,0.168843,-0.031036
1085,3.013889,-0.004888,0.006634,0.008325,-0.999931,0.330296,0.168674,-0.149614,0.000000,0.320056,0.167047,-0.137219,0.966914,0.250189,0.178864,-0.271400,0.960460,0.415257,0.160052,-0.158828,0.983851,0.335680,0.168733,-0.031009,0.959112,0.320056,0.167047,-0.137219,0.250189,0.178864,-0.271400,0.415257,0.160052,-0.158828,0.335680,0.168733,-0.031009
1086,3.016667,-0.004412,0.006346,0.009161,-0.999928,0.330399,0.168729,-0.149549,0.000000,0.320164,0.167131,-0.137147,0.966914,0.250238,0.178939,-0.271297,0.960460,0.415340,0.159956,-0.158805,0.983851,0.335854,0.168890,-0.030948,0.959112,0.320164,0.167131,-0.137147,0.250238,0.178939,-0.271297,0.415340,0.159956,-0.158805,0.335854,0.168890,-0.030948
1087,3.019444,-0.006422,0.007915,0.005712,-0.999932,0.330230,0.168672,-0.149494,0.000000,0.319966,0.166954,-0.137131,0.962956,0.250389,0.178811,-0.271458,0.970715,0.415259,0.160522,-0.158511,0.994376,0.335305,0.168402,-0.030875,0.959337,0.319966,0.166954,-0.137131,0.250389,0.178811,-0.271458,0.415259,0.160522,-0.158511,0.335305,0.168402,-0.030875
1088,3.022222,-0.005718,0.007502,0.007735,-0.999926,0.330035,0.168788,-0.149658,0.000000,0.319775,0.167129,-0.137284,0.962956,0.250131,0.179083,-0.271567,0.970715,0.415023,0.160281,-0.158736,0.994376,0.335212,0.168660,-0.031044,0.959337,0.319775,0.167129,-0.137284,0.250131,0.179083,-0.271567,0.415023,0.160281,-0.158736,0.335212,0.168660,-0.031044
1089,3.025000,-0.004546,0.007271,0.007125,-0.999938,0.330164,0.168922,-0.149579,0.000000,0.319912,0.167280,-0.137196,0.962956,0.250190,0.178835,-0.271474,0.970715,0.415157,0.160497,-0.158678,0.994376,0.335396,0.169079,-0.030967,0.959337,0.319912,0.167280,-0.137196,0.250190,0.178835,-0.271474,0.415157,0.160497,-0.158678,0.335396,0.169079,-0.030967
1090,3.027778,-0.003636,0.006164,0.008940,-0.999934,0.330300,0.168815,-0.149541,0.000000,0.320070,0.167232,-0.137132,0.925082,0.250089,0.178802,-0.271274,0.849475,0.415242,0.160064,-0.158815,0.924836,0.335800,0.169163,-0.030942,0.958532,0.320070,0.167232,-0.137132,0.250089,0.178802,-0.271274,0.415242,0.160064,-0.158815,0.335800,0.169163,-0.030942
1091,3.030556,-0.005921,0.008009,0.007248,-0.999924,0.330068,0.168693,-0.149673,0.000000,0.319797,0.167019,-0.137310,0.925082,0.250278,0.178958,-0.271660,0.849475,0.415073,0.160272,-0.158668,0.924836,0.335123,0.168523,-0.031053,0.958532,0.319797,0.167019,-0.137310,0.250278,0.178958,-0.271660,0.415073,0.160272,-0.158668,0.335123,0.168523,-0.031053
1092,3.033333,-0.004983,0.006758,0.008112,-0.999932,0.330431,0.168603,-0.149471,0.000000,0.320188,0.166970,-0.137079,0.929407,0.250351,0.178782,-0.271275,0.929152,0.415398,0.160019,-0.158665,0.976304,0.335786,0.168643,-0.030865,0.868184,0.320188,0.166970,-0.137079,0.250351,0.178782,-0.271275,0.415398,0.160019,-0.158665,0.335786,0.168643,-0.030865
1093,3.036111,-0.005498,0.006857,0.008727,-0.999923,0.330368,0.168298,-0.149437,0.000000,0.320121,0.166664,-0.137049,0.940516,0.250326,0.178701,-0.271247,0.935889,0.415327,0.159619,-0.158623,0.894438,0.335699,0.168208,-0.030830,0.969036,0.320121,0.166664,-0.137049,0.250326,0.178701,-0.271247,0.415327,0.159619,-0.158623,0.335699,0.168208,-0.030830
1094,3.038889,-0.006024,0.007157,0.007806,-0.999926,0.330025,0.168763,-0.149550,0.000000,0.319774,0.167098,-0.137170,0.940516,0.250039,0.179144,-0.271398,0.935889,0.415006,0.160251,-0.158692,0.894438,0.335283,0.168561,-0.030939,0.969036,0.319774,0.167098,-0.137170,0.250039,0.179144,-0.271398,0.415006,0.160251,-0.158692,0.335283,0.168561,-0.030939
1095,3.041667,-0.005547,0.005846,0.008290,-0.999933,0.330422,0.168529,-0.149545,0.000000,0.320202,0.166885,-0.137137,0.915576,0.250125,0.178874,-0.271192,0.891919,0.415370,0.159927,-0.158904,0.858073,0.335993,0.168431,-0.030949,0.969329,0.320202,0.166885,-0.137137,0.250125,0.178874,-0.271192,0.415370,0.159927,-0.158904,0.335993,0.168431,-0.030949
1096,3.044444,-0.006033,0.007338,0.006316,-0.999935,0.330203,0.168727,-0.149453,0.000000,0.319952,0.167031,-0.137076,0.915576,0.250232,0.178869,-0.271331,0.891919,0.415212,0.160468,-0.158562,0.858073,0.335416,0.168541,-0.030840,0.969329,0.319952,0.167031,-0.137076,0.250232,0.178869,-0.271331,0.415212,0.160468,-0.158562,0.335416,0.168541,-0.030840
1097,3.047222,-0.005290,0.006781,0.009638,-0.999917,0.330293,0.168514,-0.149505,0.000000,0.320045,0.166904,-0.137114,0.890978,0.250249,0.179014,-0.271305,0.711784,0.415234,0.159677,-0.158701,0.895685,0.335643,0.168462,-0.030898,0.872986,0.320045,0.166904,-0.137114,0.250249,0.179014,-0.271305,0.415234,0.159677,-0.158701,0.335643,0.168462,-0.030898
1098,3.050000,-0.004140,0.006944,0.008822,-0.999928,0.330294,0.168782,-0.149587,0.000000,0.320045,0.167184,-0.137196,0.931116,0.250272,0.178871,-0.271436,0.928559,0.415252,0.160060,-0.158737,0.980003,0.335608,0.169013,-0.030979,0.868404,0.320045,0.167184,-0.137196,0.250272,0.178871,-0.271436,0.415252,0.160060,-0.158737,0.335608,0.169013,-0.030979
1099,3.052778,-0.005226,0.007276,0.007034,-0.999935,0.330344,0.168771,-0.149518,0.000000,0.320092,0.167110,-0.137138,0.931116,0.250370,0.178834,-0.271402,0.928559,0.415339,0.160374,-0.158627,0.980003,0.335574,0.168767,-0.030906,0.868404,0.320092,0.167110,-0.137138,0.250371,0.178834,-0.271402,0.415339,0.160374,-0.158627,0.335574,0.168767,-0.030906
1100,3.055556,-0.004949,0.007090,0.007849,-0.999932,0.330190,0.168688,-0.149641,0.000000,0.319940,0.167050,-0.137256,0.952434,0.250186,0.178815,-0.271499,0.946593,0.415168,0.160147,-0.158777,0.970259,0.335465,0.168739,-0.031031,0.982294,0.319940,0.167050,-0.137256,0.250186,0.178815,-0.271499,0.415168,0.160147,-0.158777,0.335465,0.168739,-0.031031
1101,3.058333,-0.004919,0.006822,0.008356,-0.999930,0.330269,0.168741,-0.149513,0.000000,0.320024,0.167114,-0.137122,0.921405,0.250209,0.178943,-0.271328,0.910755,0.415233,0.160114,-0.158695,0.886170,0.335609,0.168793,-0.030906,0.951371,0.320024,0.167114,-0.137122,0.250209,0.178943,-0.271328,0.415233,0.160114,-0.158695,0.335609,0.168793,-0.030906
1102,3.061111,-0.004719,0.006863,0.007370,-0.999938,0.330286,0.168877,-0.149541,0.000000,0.320044,0.167235,-0.137150,0.921405,0.250217,0.178871,-0.271367,0.910755,0.415268,0.160413,-0.158712,0.886170,0.335616,0.168988,-0.030933,0.951371,0.320044,0.167235,-0.137150,0.250217,0.178871,-0.271367,0.415268,0.160413,-0.158712,0.335616,0.168988,-0.030933
1103,3.063889,-0.002017,0.007855,0.011192,-0.999905,0.330252,0.168825,-0.149666,0.000000,0.319973,0.167328,-0.137287,0.924902,0.250493,0.178780,-0.271699,0.921409,0.415183,0.159659,-0.158628,0.973487,0.335358,0.169533,-0.031051,0.852151,0.319973,0.167328,-0.137287,0.250493,0.178780,-0.271699,0.415183,0.159659,-0.158628,0.335358,0.169533,-0.031051
1104,3.066667,-0.006253,0.007723,0.006999,-0.999926,0.330271,0.168560,-0.149483,0.000000,0.320008,0.166872,-0.137116,0.924902,0.250408,0.178866,-0.271419,0.921409,0.415276,0.160188,-0.158532,0.973487,0.335394,0.168313,-0.030867,0.852151,0.320008,0.166872,-0.137116,0.250408,0.178866,-0.271419,0.415276,0.160188,-0.158532,0.335394,0.168313,-0.030867
1105,3.069444,-0.004307,0.007103,0.008303,-0.999931,0.330229,0.168770,-0.149622,0.000000,0.319978,0.167157,-0.137235,0.964290,0.250236,0.178815,-0.271494,0.971559,0.415200,0.160139,-0.158747,0.995129,0.335504,0.168968,-0.031012,0.960007,0.319978,0.167157,-0.137235,0.250236,0.178815,-0.271494,0.415200,0.160139,-0.158747,0.335504,0.168968,-0.031012
1106,3.072222,-0.003718,0.006538,0.009479,-0.999927,0.330489,0.168809,-0.149521,0.000000,0.320248,0.167235,-0.137120,0.933187,0.250379,0.178902,-0.271312,0.929917,0.415428,0.159968,-0.158733,0.971485,0.335901,0.169131,-0.030917,0.865810,0.320248,0.167235,-0.137120,0.250379,0.178902,-0.271312,0.415428,0.159968,-0.158733,0.335901,0.169131,-0.030917
