Format Version,1.22,Take Name,day 2 front left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.07.29.815 AM,Total Frames in Take,1516,Total Exported Frames,1516,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,0.004408,0.108895,0.025926,-0.993705,0.233170,0.168379,-2.694775,0.000000,0.220574,0.167396,-2.684699,0.956449,0.179875,0.178423,-2.830463,0.947781,0.317841,0.156642,-2.686364,0.939522,0.214389,0.171054,-2.577573,0.875428,0.220574,0.167396,-2.684699,0.179875,0.178423,-2.830463,0.317841,0.156642,-2.686364,0.214389,0.171054,-2.577573,,,,,,,,,,,,,,,,,,,,,
17,0.047222,0.005058,0.108925,0.027892,-0.993646,0.233199,0.168281,-2.694784,0.000000,0.220599,0.167358,-2.684708,0.944418,0.179952,0.178423,-2.830484,0.970622,0.317821,0.156208,-2.686358,0.935798,0.214423,0.171134,-2.577585,0.882273,0.220599,0.167358,-2.684708,0.179952,0.178423,-2.830484,0.317821,0.156208,-2.686358,0.214423,0.171134,-2.577586,,,,,,,,,,,,,,,,,,,,,
18,0.050000,0.005603,0.109177,0.027338,-0.993631,0.233113,0.168417,-2.694875,0.000000,0.220510,0.167494,-2.684803,0.806386,0.179920,0.178342,-2.830612,0.903158,0.317743,0.156438,-2.686395,0.922703,0.214280,0.171395,-2.577689,0.830856,0.220510,0.167494,-2.684803,0.179920,0.178342,-2.830612,0.317743,0.156438,-2.686395,0.214280,0.171395,-2.577689,,,,,,,,,,,,,,,,,,,,,
19,0.052778,0.005072,0.108926,0.027517,-0.993656,0.233272,0.168302,-2.694906,0.000000,0.220673,0.167370,-2.684830,0.806386,0.180017,0.178390,-2.830607,0.903158,0.317904,0.156293,-2.686479,0.922703,0.214495,0.171154,-2.577708,0.830856,0.220673,0.167370,-2.684830,0.180017,0.178390,-2.830607,0.317904,0.156293,-2.686479,0.214495,0.171154,-2.577708,,,,,,,,,,,,,,,,,,,,,
20,0.055556,0.005356,0.109694,0.025956,-0.993612,0.233135,0.168467,-2.694766,0.000000,0.220524,0.167507,-2.684708,0.922179,0.180054,0.178265,-2.830556,0.929074,0.317790,0.156724,-2.686201,0.977384,0.214172,0.171372,-2.577599,0.854443,0.220524,0.167507,-2.684708,0.180054,0.178265,-2.830556,0.317790,0.156724,-2.686201,0.214172,0.171372,-2.577599,,,,,,,,,,,,,,,,,,,,,
21,0.058333,0.004761,0.109163,0.025466,-0.993686,0.233289,0.168326,-2.694764,0.000000,0.220689,0.167341,-2.684694,0.808159,0.180055,0.178215,-2.830488,0.870625,0.317966,0.156667,-2.686301,0.847812,0.214446,0.171081,-2.577574,0.818633,0.220689,0.167341,-2.684694,0.180055,0.178215,-2.830488,0.317966,0.156667,-2.686301,0.214446,0.171081,-2.577574,,,,,,,,,,,,,,,,,,,,,
22,0.061111,0.004859,0.109042,0.027615,-0.993642,0.233149,0.168178,-2.694860,0.000000,0.220548,0.167244,-2.684788,0.808159,0.179929,0.178334,-2.830570,0.870625,0.317777,0.156153,-2.686418,0.847812,0.214343,0.170982,-2.577666,0.818633,0.220548,0.167244,-2.684788,0.179929,0.178334,-2.830570,0.317777,0.156153,-2.686418,0.214343,0.170982,-2.577666,,,,,,,,,,,,,,,,,,,,,
23,0.063889,0.006940,0.109326,0.028745,-0.993566,0.233100,0.168509,-2.694782,0.000000,0.220491,0.167649,-2.684712,0.922110,0.179972,0.178278,-2.830556,0.927914,0.317691,0.156289,-2.686252,0.961743,0.214247,0.171821,-2.577608,0.860374,0.220491,0.167649,-2.684712,0.179972,0.178278,-2.830556,0.317691,0.156289,-2.686252,0.214247,0.171821,-2.577608,,,,,,,,,,,,,,,,,,,,,
24,0.066667,0.004665,0.109900,0.025082,-0.993615,0.233233,0.168297,-2.694839,0.000000,0.220620,0.167301,-2.684788,0.922110,0.180193,0.178153,-2.830642,0.927914,0.317906,0.156704,-2.686251,0.961743,0.214215,0.171029,-2.577677,0.860374,0.220620,0.167301,-2.684788,0.180193,0.178153,-2.830642,0.317906,0.156704,-2.686251,0.214215,0.171029,-2.577677,,,,,,,,,,,,,,,,,,,,,
25,0.069444,0.005909,0.109519,0.026323,-0.993619,0.233234,0.168409,-2.694785,0.000000,0.220626,0.167470,-2.684721,0.902663,0.180111,0.178115,-2.830565,0.895635,0.317882,0.156603,-2.686239,0.917101,0.214318,0.171449,-2.577614,0.849196,0.220626,0.167470,-2.684721,0.180111,0.178115,-2.830565,0.317882,0.156603,-2.686239,0.214318,0.171449,-2.577614,,,,,,,,,,,,,,,,,,,,,
26,0.072222,0.006687,0.109500,0.026991,-0.993598,0.233180,0.168482,-2.694791,0.000000,0.220571,0.167576,-2.684725,0.927656,0.180062,0.178078,-2.830581,0.931401,0.317810,0.156561,-2.686235,0.972974,0.214276,0.171714,-2.577623,0.862903,0.220571,0.167576,-2.684725,0.180062,0.178078,-2.830581,0.317810,0.156561,-2.686235,0.214276,0.171714,-2.577623,,,,,,,,,,,,,,,,,,,,,
27,0.075000,0.005877,0.108695,0.027922,-0.993666,0.233214,0.168385,-2.694784,0.000000,0.220619,0.167481,-2.684700,0.927656,0.179901,0.178322,-2.830473,0.931401,0.317837,0.156305,-2.686382,0.972974,0.214498,0.171431,-2.577581,0.862903,0.220619,0.167481,-2.684700,0.179901,0.178322,-2.830473,0.317837,0.156305,-2.686382,0.214498,0.171431,-2.577581,,,,,,,,,,,,,,,,,,,,,
28,0.077778,0.005036,0.108735,0.026627,-0.993701,0.233177,0.168460,-2.694714,0.000000,0.220584,0.167507,-2.684632,0.816833,0.179851,0.178438,-2.830395,0.908835,0.317833,0.156602,-2.686319,0.911541,0.214441,0.171291,-2.577508,0.835699,0.220584,0.167507,-2.684632,0.179851,0.178438,-2.830395,0.317833,0.156602,-2.686319,0.214441,0.171291,-2.577508,,,,,,,,,,,,,,,,,,,,,
29,0.080556,0.005858,0.109402,0.027507,-0.993600,0.233272,0.168373,-2.694885,0.000000,0.220664,0.167459,-2.684819,0.925253,0.180143,0.178253,-2.830651,0.934304,0.317894,0.156365,-2.686362,0.971683,0.214388,0.171414,-2.577709,0.868104,0.220664,0.167459,-2.684819,0.180143,0.178253,-2.830651,0.317894,0.156365,-2.686362,0.214388,0.171414,-2.577709,,,,,,,,,,,,,,,,,,,,,
30,0.083333,0.004348,0.108616,0.026603,-0.993718,0.233265,0.168148,-2.694872,0.000000,0.220674,0.167179,-2.684790,0.925253,0.179909,0.178302,-2.830528,0.934304,0.317925,0.156296,-2.686511,0.971683,0.214552,0.170816,-2.577659,0.868104,0.220674,0.167179,-2.684790,0.179909,0.178302,-2.830528,0.317925,0.156296,-2.686511,0.214552,0.170816,-2.577659,,,,,,,,,,,,,,,,,,,,,
31,0.086111,0.006234,0.108999,0.028278,-0.993620,0.233189,0.168413,-2.694719,0.000000,0.220587,0.167525,-2.684642,0.924375,0.179965,0.178303,-2.830446,0.929664,0.317798,0.156272,-2.686258,0.965084,0.214405,0.171549,-2.577529,0.866978,0.220587,0.167525,-2.684642,0.179965,0.178303,-2.830446,0.317798,0.156272,-2.686258,0.214405,0.171549,-2.577529,,,,,,,,,,,,,,,,,,,,,
32,0.088889,0.005836,0.108968,0.026773,-0.993668,0.233240,0.168484,-2.694853,0.000000,0.220641,0.167553,-2.684776,0.924375,0.179976,0.178274,-2.830572,0.929664,0.317886,0.156601,-2.686404,0.965084,0.214455,0.171509,-2.577661,0.866978,0.220641,0.167553,-2.684776,0.179976,0.178274,-2.830572,0.317886,0.156601,-2.686404,0.214455,0.171509,-2.577661,,,,,,,,,,,,,,,,,,,,,
33,0.091667,0.006899,0.109459,0.026858,-0.993604,0.233178,0.168613,-2.694762,0.000000,0.220570,0.167708,-2.684694,0.812040,0.180045,0.178136,-2.830551,0.901423,0.317812,0.156714,-2.686208,0.892934,0.214285,0.171893,-2.577593,0.825019,0.220570,0.167708,-2.684694,0.180045,0.178136,-2.830551,0.317812,0.156714,-2.686208,0.214285,0.171893,-2.577593,,,,,,,,,,,,,,,,,,,,,
34,0.094444,0.004902,0.109068,0.026383,-0.993672,0.233239,0.168271,-2.694815,0.000000,0.220640,0.167310,-2.684742,0.836970,0.179999,0.178249,-2.830530,0.914588,0.317895,0.156456,-2.686366,0.933959,0.214423,0.171070,-2.577621,0.834734,0.220640,0.167310,-2.684742,0.179999,0.178249,-2.830530,0.317895,0.156456,-2.686366,0.214423,0.171070,-2.577621,,,,,,,,,,,,,,,,,,,,,
