Format Version,1.22,Take Name,day 2 front left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.07.29.815 AM,Total Frames in Take,1516,Total Exported Frames,1516,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
708,1.966667,0.005694,0.108992,0.027294,-0.993652,0.233182,0.168469,-2.694788,0.000000,0.220582,0.167547,-2.684712,0.925868,0.179937,0.178366,-2.830508,0.937041,0.317816,0.156497,-2.686338,0.977125,0.214392,0.171466,-2.577596,0.869173,0.220582,0.167547,-2.684712,0.179937,0.178366,-2.830508,0.317816,0.156497,-2.686338,0.214392,0.171466,-2.577596,,,,,,,,,,,,,,,,,,,,,
709,1.969444,0.004723,0.109252,0.026231,-0.993657,0.233120,0.168404,-2.694740,0.000000,0.220517,0.167436,-2.684672,0.926742,0.179927,0.178406,-2.830472,0.931839,0.317777,0.156615,-2.686263,0.974126,0.214259,0.171160,-2.577553,0.862900,0.220517,0.167436,-2.684672,0.179927,0.178406,-2.830472,0.317777,0.156615,-2.686263,0.214259,0.171160,-2.577553,,,,,,,,,,,,,,,,,,,,,
710,1.972222,0.005383,0.109060,0.026796,-0.993659,0.233174,0.168494,-2.694741,0.000000,0.220574,0.167553,-2.684667,0.926742,0.179939,0.178403,-2.830462,0.931839,0.317820,0.156607,-2.686284,0.974126,0.214365,0.171412,-2.577549,0.862900,0.220574,0.167553,-2.684667,0.179939,0.178403,-2.830462,0.317820,0.156607,-2.686284,0.214365,0.171412,-2.577549,,,,,,,,,,,,,,,,,,,,,
711,1.975000,0.006093,0.108679,0.027840,-0.993668,0.233212,0.168410,-2.694804,0.000000,0.220618,0.167509,-2.684720,0.809379,0.179892,0.178280,-2.830496,0.898826,0.317838,0.156344,-2.686401,0.911533,0.214501,0.171506,-2.577602,0.816739,0.220618,0.167509,-2.684720,0.179892,0.178280,-2.830496,0.317838,0.156344,-2.686401,0.214501,0.171506,-2.577602,,,,,,,,,,,,,,,,,,,,,
712,1.977778,0.004367,0.108738,0.026575,-0.993706,0.233297,0.168202,-2.694840,0.000000,0.220703,0.167233,-2.684760,0.808352,0.179973,0.178346,-2.830510,0.907939,0.317955,0.156355,-2.686458,0.900282,0.214556,0.170875,-2.577632,0.830768,0.220703,0.167233,-2.684760,0.179973,0.178346,-2.830510,0.317955,0.156355,-2.686458,0.214556,0.170875,-2.577632,,,,,,,,,,,,,,,,,,,,,
713,1.980556,0.004771,0.108897,0.025585,-0.993712,0.233474,0.167398,-2.694918,0.000000,0.220880,0.166416,-2.684841,0.808352,0.180171,0.177303,-2.830614,0.907939,0.318152,0.155719,-2.686500,0.900282,0.214694,0.170156,-2.577718,0.830768,0.220880,0.166416,-2.684841,0.180171,0.177303,-2.830614,0.318152,0.155719,-2.686500,0.214694,0.170156,-2.577718,,,,,,,0.227801,0.183437,-2.676864,,,,,,,,,,,,
714,1.983333,0.003594,0.108708,0.025281,-0.993746,0.233521,0.167232,-2.695014,0.000000,0.220931,0.166216,-2.684936,0.923867,0.180165,0.177401,-2.830669,0.926653,0.318212,0.155606,-2.686650,0.966288,0.214777,0.169706,-2.577802,0.863102,0.220931,0.166216,-2.684936,0.180165,0.177401,-2.830669,0.318212,0.155606,-2.686650,0.214777,0.169706,-2.577802,,,,,,,0.227757,0.183454,-2.676903,,,,,,,,,,,,
715,1.986111,0.005307,0.108900,0.026628,-0.993682,0.233162,0.168439,-2.694682,0.000000,0.220565,0.167493,-2.684604,0.923867,0.179879,0.178347,-2.830385,0.926653,0.317814,0.156581,-2.686255,0.966288,0.214389,0.171336,-2.577484,0.863102,0.220565,0.167493,-2.684604,0.179879,0.178347,-2.830385,0.317814,0.156581,-2.686255,0.214389,0.171336,-2.577484,,,,,,,,,,,,,,,,,,,,,
716,1.988889,0.005593,0.108911,0.027051,-0.993668,0.233238,0.168319,-2.694867,0.000000,0.220640,0.167389,-2.684789,0.928462,0.179966,0.178210,-2.830576,0.936361,0.317879,0.156388,-2.686433,0.975785,0.214466,0.171288,-2.577671,0.862619,0.220640,0.167389,-2.684789,0.179966,0.178210,-2.830576,0.317879,0.156388,-2.686433,0.214466,0.171288,-2.577671,,,,,,,,,,,,,,,,,,,,,
717,1.991667,0.005787,0.109476,0.026146,-0.993629,0.233368,0.168365,-2.694753,0.000000,0.220761,0.167418,-2.684688,0.851333,0.180230,0.178078,-2.830527,0.963259,0.318021,0.156588,-2.686217,0.930234,0.214461,0.171373,-2.577579,0.936199,0.220761,0.167418,-2.684688,0.180230,0.178078,-2.830527,0.318021,0.156588,-2.686217,0.214461,0.171373,-2.577580,,,,,,,,,,,,,,,,,,,,,
718,1.994444,0.005557,0.109116,0.026998,-0.993647,0.233246,0.168398,-2.694723,0.000000,0.220644,0.167466,-2.684650,0.851333,0.180029,0.178289,-2.830453,0.963259,0.317885,0.156477,-2.686254,0.930234,0.214425,0.171360,-2.577534,0.936199,0.220644,0.167466,-2.684650,0.180029,0.178289,-2.830453,0.317885,0.156477,-2.686254,0.214425,0.171360,-2.577534,,,,,,,,,,,,,,,,,,,,,
719,1.997222,0.005880,0.109487,0.026733,-0.993611,0.233206,0.168441,-2.694745,0.000000,0.220598,0.167510,-2.684681,0.818263,0.180083,0.178210,-2.830521,0.902865,0.317845,0.156564,-2.686206,0.937115,0.214299,0.171478,-2.577573,0.833297,0.220598,0.167510,-2.684681,0.180083,0.178210,-2.830521,0.317845,0.156564,-2.686206,0.214299,0.171478,-2.577573,,,,,,,,,,,,,,,,,,,,,
720,2.000000,0.005289,0.109161,0.026456,-0.993658,0.233198,0.168489,-2.694745,0.000000,0.220596,0.167538,-2.684673,0.811822,0.179983,0.178375,-2.830476,0.913416,0.317850,0.156660,-2.686272,0.914470,0.214363,0.171381,-2.577557,0.838510,0.220596,0.167538,-2.684673,0.179983,0.178375,-2.830476,0.317850,0.156660,-2.686272,0.214363,0.171381,-2.577557,,,,,,,,,,,,,,,,,,,,,
721,2.002778,0.006487,0.109045,0.026951,-0.993650,0.233206,0.168718,-2.694722,0.000000,0.220606,0.167806,-2.684645,0.811822,0.179964,0.178364,-2.830461,0.913416,0.317846,0.156804,-2.686247,0.914470,0.214408,0.171900,-2.577536,0.838510,0.220606,0.167806,-2.684645,0.179964,0.178364,-2.830461,0.317846,0.156804,-2.686247,0.214408,0.171900,-2.577536,,,,,,,,,,,,,,,,,,,,,
722,2.005556,0.005516,0.109742,0.025824,-0.993609,0.233257,0.168477,-2.694753,0.000000,0.220645,0.167517,-2.684696,0.800956,0.180185,0.178215,-2.830552,0.880520,0.317913,0.156756,-2.686177,0.855716,0.214283,0.171419,-2.577589,0.825682,0.220645,0.167517,-2.684696,0.180185,0.178215,-2.830552,0.317913,0.156756,-2.686177,0.214283,0.171419,-2.577589,,,,,,,,,,,,,,,,,,,,,
723,2.008333,0.004460,0.109014,0.026116,-0.993687,0.233260,0.168327,-2.694836,0.000000,0.220662,0.167350,-2.684763,0.800956,0.180002,0.178383,-2.830538,0.880520,0.317925,0.156558,-2.686404,0.855716,0.214453,0.171018,-2.577639,0.825682,0.220662,0.167350,-2.684763,0.180002,0.178383,-2.830538,0.317925,0.156558,-2.686404,0.214453,0.171018,-2.577639,,,,,,,,,,,,,,,,,,,,,
724,2.011111,0.005979,0.108954,0.027159,-0.993658,0.233247,0.168403,-2.694761,0.000000,0.220649,0.167484,-2.684683,0.924165,0.179987,0.178208,-2.830481,0.927531,0.317885,0.156453,-2.686312,0.979323,0.214468,0.171465,-2.577569,0.850828,0.220649,0.167484,-2.684683,0.179987,0.178208,-2.830481,0.317885,0.156453,-2.686312,0.214468,0.171465,-2.577569,,,,,,,,,,,,,,,,,,,,,
725,2.013889,0.005783,0.109399,0.026209,-0.993636,0.233260,0.168373,-2.694932,0.000000,0.220654,0.167428,-2.684865,0.830446,0.180102,0.178097,-2.830697,0.901296,0.317913,0.156586,-2.686409,0.907662,0.214371,0.171381,-2.577755,0.830350,0.220654,0.167428,-2.684865,0.180102,0.178097,-2.830697,0.317913,0.156586,-2.686409,0.214371,0.171381,-2.577755,,,,,,,,,,,,,,,,,,,,,
726,2.016667,0.005069,0.109326,0.027174,-0.993622,0.233203,0.168310,-2.694864,0.000000,0.220597,0.167371,-2.684798,0.830446,0.180050,0.178350,-2.830608,0.901296,0.317836,0.156360,-2.686369,0.907662,0.214330,0.171160,-2.577681,0.830350,0.220597,0.167371,-2.684798,0.180050,0.178350,-2.830608,0.317836,0.156360,-2.686369,0.214330,0.171160,-2.577681,,,,,,,,,,,,,,,,,,,,,
727,2.019444,0.005260,0.108598,0.027504,-0.993691,0.233108,0.168466,-2.694744,0.000000,0.220515,0.167539,-2.684659,0.857015,0.179762,0.178507,-2.830413,0.948491,0.317744,0.156459,-2.686369,0.916499,0.214409,0.171361,-2.577534,0.929878,0.220515,0.167539,-2.684659,0.179762,0.178507,-2.830413,0.317744,0.156459,-2.686369,0.214409,0.171361,-2.577534,,,,,,,,,,,,,,,,,,,,,
728,2.022222,0.006709,0.109466,0.026805,-0.993606,0.233172,0.168536,-2.694752,0.000000,0.220564,0.167626,-2.684685,0.857015,0.180040,0.178101,-2.830539,0.948491,0.317807,0.156646,-2.686200,0.916499,0.214275,0.171770,-2.577583,0.929878,0.220564,0.167626,-2.684685,0.180040,0.178101,-2.830539,0.317807,0.156646,-2.686200,0.214275,0.171770,-2.577583,,,,,,,,,,,,,,,,,,,,,
729,2.025000,0.006379,0.109050,0.027380,-0.993639,0.233121,0.168582,-2.694708,0.000000,0.220520,0.167678,-2.684631,0.817628,0.179890,0.178314,-2.830444,0.909308,0.317750,0.156595,-2.686235,0.916074,0.214323,0.171743,-2.577521,0.831242,0.220520,0.167678,-2.684631,0.179890,0.178314,-2.830444,0.317750,0.156595,-2.686235,0.214323,0.171743,-2.577521,,,,,,,,,,,,,,,,,,,,,
730,2.027778,0.006633,0.108683,0.028253,-0.993653,0.233137,0.168634,-2.694785,0.000000,0.220542,0.167755,-2.684699,0.918632,0.179824,0.178421,-2.830486,0.925083,0.317751,0.156497,-2.686371,0.975257,0.214430,0.171863,-2.577586,0.850746,0.220542,0.167755,-2.684699,0.179824,0.178421,-2.830486,0.317751,0.156497,-2.686371,0.214430,0.171863,-2.577586,,,,,,,,,,,,,,,,,,,,,
731,2.030556,0.006231,0.108826,0.027544,-0.993660,0.233232,0.168370,-2.694782,0.000000,0.220636,0.167466,-2.684700,0.918632,0.179945,0.178164,-2.830492,0.925083,0.317862,0.156355,-2.686350,0.975257,0.214487,0.171496,-2.577586,0.850746,0.220636,0.167466,-2.684700,0.179945,0.178164,-2.830492,0.317862,0.156355,-2.686350,0.214487,0.171496,-2.577586,,,,,,,,,,,,,,,,,,,,,
732,2.033333,0.004231,0.108566,0.026671,-0.993722,0.233190,0.168231,-2.694869,0.000000,0.220600,0.167261,-2.684785,0.929100,0.179822,0.178425,-2.830518,0.929419,0.317849,0.156368,-2.686519,0.967696,0.214488,0.170871,-2.577654,0.865428,0.220600,0.167261,-2.684785,0.179822,0.178425,-2.830518,0.317849,0.156368,-2.686519,0.214488,0.170871,-2.577654,,,,,,,,,,,,,,,,,,,,,
733,2.036111,0.006272,0.109116,0.028001,-0.993615,0.233203,0.168403,-2.694754,0.000000,0.220600,0.167510,-2.684680,0.922228,0.180005,0.178245,-2.830495,0.926909,0.317817,0.156310,-2.686273,0.960274,0.214391,0.171546,-2.577569,0.860051,0.220600,0.167510,-2.684680,0.180005,0.178245,-2.830495,0.317817,0.156310,-2.686273,0.214391,0.171546,-2.577569,,,,,,,,,,,,,,,,,,,,,
734,2.038889,0.006189,0.108719,0.028109,-0.993656,0.233258,0.168442,-2.694839,0.000000,0.220662,0.167549,-2.684755,0.922228,0.179954,0.178324,-2.830536,0.926909,0.317876,0.156330,-2.686427,0.960274,0.214540,0.171564,-2.577639,0.860051,0.220662,0.167549,-2.684755,0.179954,0.178324,-2.830536,0.317876,0.156330,-2.686427,0.214540,0.171564,-2.577639,,,,,,,,,,,,,,,,,,,,,
735,2.041667,0.005415,0.108708,0.027439,-0.993680,0.233134,0.168524,-2.694771,0.000000,0.220539,0.167599,-2.684688,0.812485,0.179816,0.178515,-2.830454,0.907874,0.317770,0.156528,-2.686375,0.912292,0.214410,0.171455,-2.577566,0.814491,0.220539,0.167599,-2.684688,0.179816,0.178515,-2.830454,0.317770,0.156528,-2.686375,0.214410,0.171455,-2.577566,,,,,,,,,,,,,,,,,,,,,
736,2.044444,0.005197,0.109457,0.025969,-0.993639,0.233353,0.168364,-2.694857,0.000000,0.220746,0.167401,-2.684793,0.812485,0.180208,0.178207,-2.830619,0.907874,0.318012,0.156619,-2.686335,0.912292,0.214445,0.171231,-2.577680,0.814491,0.220746,0.167401,-2.684793,0.180208,0.178207,-2.830619,0.318012,0.156619,-2.686335,0.214445,0.171231,-2.577680,,,,,,,,,,,,,,,,,,,,,
737,2.047222,0.006044,0.109001,0.027395,-0.993646,0.233309,0.168366,-2.694827,0.000000,0.220709,0.167454,-2.684750,0.802903,0.180067,0.178186,-2.830553,0.883043,0.317940,0.156376,-2.686368,0.858940,0.214520,0.171447,-2.577636,0.825295,0.220709,0.167454,-2.684750,0.180067,0.178186,-2.830553,0.317940,0.156376,-2.686368,0.214520,0.171447,-2.577636,,,,,,,,,,,,,,,,,,,,,
738,2.050000,0.006587,0.109328,0.027956,-0.993591,0.233169,0.168424,-2.694865,0.000000,0.220562,0.167538,-2.684796,0.924357,0.180026,0.178178,-2.830634,0.917524,0.317780,0.156339,-2.686341,0.947726,0.214310,0.171643,-2.577690,0.852549,0.220562,0.167538,-2.684796,0.180026,0.178178,-2.830634,0.317780,0.156339,-2.686341,0.214310,0.171643,-2.577690,,,,,,,,,,,,,,,,,,,,,
739,2.052778,0.006627,0.109104,0.028684,-0.993594,0.233152,0.168438,-2.694722,0.000000,0.220547,0.167569,-2.684647,0.924357,0.179963,0.178281,-2.830467,0.917524,0.317748,0.156228,-2.686236,0.947726,0.214348,0.171673,-2.577538,0.852549,0.220547,0.167569,-2.684647,0.179963,0.178281,-2.830467,0.317748,0.156228,-2.686236,0.214348,0.171673,-2.577538,,,,,,,,,,,,,,,,,,,,,
740,2.055556,0.005003,0.109227,0.026699,-0.993646,0.233238,0.168294,-2.694911,0.000000,0.220634,0.167342,-2.684842,0.919828,0.180047,0.178287,-2.830644,0.932718,0.317884,0.156424,-2.686433,0.969361,0.214386,0.171121,-2.577724,0.867172,0.220634,0.167342,-2.684842,0.180047,0.178287,-2.830644,0.317884,0.156424,-2.686433,0.214386,0.171121,-2.577724,,,,,,,,,,,,,,,,,,,,,
741,2.058333,0.005890,0.109292,0.027114,-0.993622,0.233204,0.168419,-2.694844,0.000000,0.220598,0.167497,-2.684775,0.830936,0.180036,0.178239,-2.830599,0.911599,0.317837,0.156478,-2.686338,0.927880,0.214344,0.171462,-2.577664,0.837915,0.220598,0.167497,-2.684775,0.180036,0.178239,-2.830599,0.317837,0.156478,-2.686338,0.214344,0.171462,-2.577664,,,,,,,,,,,,,,,,,,,,,
742,2.061111,0.006502,0.108892,0.027156,-0.993661,0.233232,0.168537,-2.694904,0.000000,0.220635,0.167630,-2.684824,0.830936,0.179953,0.178208,-2.830626,0.911599,0.317870,0.156587,-2.686456,0.927880,0.214471,0.171723,-2.577712,0.837915,0.220635,0.167630,-2.684824,0.179953,0.178208,-2.830626,0.317870,0.156587,-2.686456,0.214471,0.171723,-2.577712,,,,,,,,,,,,,,,,,,,,,
743,2.063889,0.006067,0.109123,0.026496,-0.993657,0.233253,0.168527,-2.694716,0.000000,0.220652,0.167595,-2.684642,0.797729,0.180025,0.178219,-2.830456,0.869484,0.317903,0.156690,-2.686235,0.848687,0.214432,0.171604,-2.577531,0.807050,0.220652,0.167595,-2.684642,0.180025,0.178219,-2.830456,0.317903,0.156690,-2.686235,0.214432,0.171604,-2.577531,,,,,,,,,,,,,,,,,,,,,
744,2.066667,0.005373,0.108742,0.027540,-0.993674,0.233144,0.168479,-2.694775,0.000000,0.220549,0.167555,-2.684693,0.797729,0.179838,0.178495,-2.830462,0.869484,0.317778,0.156466,-2.686374,0.848687,0.214413,0.171402,-2.577571,0.807050,0.220549,0.167555,-2.684693,0.179838,0.178495,-2.830462,0.317778,0.156466,-2.686374,0.214413,0.171402,-2.577571,,,,,,,,,,,,,,,,,,,,,
745,2.069444,0.005776,0.109189,0.026535,-0.993650,0.233230,0.168405,-2.694770,0.000000,0.220628,0.167467,-2.684698,0.924529,0.180022,0.178176,-2.830513,0.927115,0.317879,0.156562,-2.686284,0.965198,0.214392,0.171413,-2.577586,0.861160,0.220628,0.167467,-2.684698,0.180022,0.178176,-2.830513,0.317879,0.156562,-2.686284,0.214392,0.171413,-2.577586,,,,,,,,,,,,,,,,,,,,,
746,2.072222,0.005102,0.109062,0.026961,-0.993656,0.233220,0.168231,-2.694791,0.000000,0.220619,0.167288,-2.684718,0.970379,0.179990,0.178235,-2.830508,0.963898,0.317862,0.156317,-2.686340,0.965567,0.214409,0.171085,-2.577599,0.957438,0.220619,0.167288,-2.684718,0.179990,0.178235,-2.830508,0.317862,0.156317,-2.686340,0.214409,0.171085,-2.577599,,,,,,,,,,,,,,,,,,,,,
747,2.075000,0.005693,0.109104,0.027036,-0.993646,0.233167,0.168403,-2.694792,0.000000,0.220565,0.167475,-2.684718,0.970379,0.179947,0.178265,-2.830523,0.963898,0.317805,0.156475,-2.686322,0.965567,0.214350,0.171397,-2.577604,0.957438,0.220565,0.167475,-2.684718,0.179947,0.178265,-2.830523,0.317805,0.156475,-2.686322,0.214350,0.171397,-2.577604,,,,,,,,,,,,,,,,,,,,,
748,2.077778,0.004781,0.108141,0.027628,-0.993740,0.233232,0.168333,-2.694839,0.000000,0.220648,0.167398,-2.684743,0.916742,0.179767,0.178518,-2.830450,0.910294,0.317874,0.156306,-2.686552,0.961739,0.214638,0.171113,-2.577610,0.845741,0.220648,0.167398,-2.684743,0.179767,0.178518,-2.830450,0.317874,0.156306,-2.686552,0.214638,0.171113,-2.577610,,,,,,,,,,,,,,,,,,,,,
749,2.080556,0.006882,0.108702,0.028177,-0.993651,0.233122,0.168586,-2.694763,0.000000,0.220527,0.167711,-2.684677,0.807476,0.179811,0.178299,-2.830470,0.898661,0.317737,0.156462,-2.686341,0.911376,0.214413,0.171874,-2.577565,0.816048,0.220527,0.167711,-2.684677,0.179811,0.178299,-2.830470,0.317737,0.156462,-2.686341,0.214413,0.171874,-2.577565,,,,,,,,,,,,,,,,,,,,,
750,2.083333,0.004736,0.108955,0.026491,-0.993682,0.233261,0.168241,-2.694844,0.000000,0.220663,0.167279,-2.684769,0.807476,0.179992,0.178277,-2.830544,0.898661,0.317917,0.156407,-2.686418,0.911376,0.214470,0.171001,-2.577646,0.816048,0.220663,0.167279,-2.684769,0.179992,0.178277,-2.830544,0.317917,0.156407,-2.686418,0.214470,0.171001,-2.577646,,,,,,,,,,,,,,,,,,,,,
751,2.086111,0.005298,0.109462,0.026060,-0.993635,0.233174,0.168413,-2.694797,0.000000,0.220567,0.167454,-2.684733,0.922353,0.180032,0.178242,-2.830562,0.930176,0.317831,0.156652,-2.686273,0.973212,0.214267,0.171305,-2.577621,0.848212,0.220567,0.167454,-2.684733,0.180032,0.178242,-2.830562,0.317831,0.156652,-2.686273,0.214267,0.171305,-2.577621,,,,,,,,,,,,,,,,,,,,,
752,2.088889,0.005431,0.108844,0.027425,-0.993666,0.233101,0.168470,-2.694737,0.000000,0.220504,0.167545,-2.684658,0.922353,0.179820,0.178454,-2.830436,0.930176,0.317735,0.156476,-2.686317,0.973212,0.214345,0.171405,-2.577538,0.848212,0.220504,0.167545,-2.684658,0.179820,0.178454,-2.830436,0.317735,0.156476,-2.686317,0.214345,0.171405,-2.577538,,,,,,,,,,,,,,,,,,,,,
753,2.091667,0.006278,0.108974,0.028076,-0.993628,0.233034,0.168681,-2.694764,0.000000,0.220433,0.167790,-2.684686,0.818114,0.179799,0.178534,-2.830490,0.913976,0.317648,0.156575,-2.686306,0.915280,0.214256,0.171826,-2.577573,0.832421,0.220433,0.167790,-2.684686,0.179799,0.178534,-2.830490,0.317648,0.156575,-2.686306,0.214256,0.171826,-2.577573,,,,,,,,,,,,,,,,,,,,,
754,2.094444,0.005268,0.108944,0.026626,-0.993677,0.233208,0.168432,-2.694851,0.000000,0.220611,0.167485,-2.684774,0.830112,0.179938,0.178349,-2.830559,0.912959,0.317860,0.156574,-2.686417,0.927516,0.214425,0.171320,-2.577655,0.834223,0.220611,0.167485,-2.684774,0.179938,0.178349,-2.830559,0.317860,0.156574,-2.686417,0.214425,0.171320,-2.577655,,,,,,,,,,,,,,,,,,,,,
755,2.097222,0.004452,0.109165,0.025975,-0.993674,0.233318,0.168309,-2.694881,0.000000,0.220717,0.167329,-2.684812,0.830112,0.180097,0.178347,-2.830599,0.912959,0.317983,0.156564,-2.686424,0.927516,0.214474,0.170998,-2.577690,0.834223,0.220717,0.167329,-2.684812,0.180097,0.178347,-2.830599,0.317983,0.156564,-2.686424,0.214474,0.170998,-2.577690,,,,,,,,,,,,,,,,,,,,,
756,2.100000,0.004941,0.108692,0.026853,-0.993701,0.233303,0.168308,-2.694823,0.000000,0.220710,0.167358,-2.684741,0.876429,0.179971,0.178342,-2.830497,0.961109,0.317955,0.156412,-2.686438,0.950007,0.214578,0.171120,-2.577615,0.934748,0.220710,0.167358,-2.684741,0.179971,0.178342,-2.830497,0.317955,0.156412,-2.686438,0.214578,0.171120,-2.577615,,,,,,,,,,,,,,,,,,,,,
757,2.102778,0.006024,0.109368,0.026977,-0.993617,0.233293,0.168402,-2.694811,0.000000,0.220686,0.167480,-2.684743,0.854048,0.180142,0.178168,-2.830576,0.961571,0.317927,0.156484,-2.686290,0.930645,0.214415,0.171476,-2.577635,0.935874,0.220686,0.167480,-2.684743,0.180142,0.178168,-2.830576,0.317927,0.156484,-2.686290,0.214415,0.171476,-2.577635,,,,,,,,,,,,,,,,,,,,,
758,2.105556,0.004367,0.108723,0.026151,-0.993719,0.233292,0.168266,-2.694892,0.000000,0.220700,0.167288,-2.684812,0.854048,0.179955,0.178353,-2.830561,0.961571,0.317961,0.156491,-2.686512,0.930645,0.214553,0.170934,-2.577683,0.935874,0.220700,0.167288,-2.684812,0.179955,0.178353,-2.830561,0.317961,0.156491,-2.686512,0.214553,0.170934,-2.577683,,,,,,,,,,,,,,,,,,,,,
759,2.108333,0.005803,0.109444,0.026195,-0.993631,0.233303,0.168466,-2.694729,0.000000,0.220697,0.167521,-2.684664,0.814308,0.180157,0.178183,-2.830500,0.915339,0.317956,0.156681,-2.686199,0.911584,0.214404,0.171478,-2.577555,0.832513,0.220697,0.167521,-2.684664,0.180157,0.178183,-2.830500,0.317956,0.156681,-2.686199,0.214404,0.171478,-2.577555,,,,,,,,,,,,,,,,,,,,,
760,2.111111,0.005856,0.108896,0.026879,-0.993672,0.233238,0.168489,-2.694743,0.000000,0.220641,0.167561,-2.684664,0.814308,0.179957,0.178289,-2.830455,0.915339,0.317883,0.156587,-2.686306,0.911584,0.214470,0.171519,-2.577548,0.832513,0.220641,0.167561,-2.684664,0.179957,0.178289,-2.830455,0.317883,0.156587,-2.686306,0.214470,0.171519,-2.577548,,,,,,,,,,,,,,,,,,,,,
761,2.113889,0.005974,0.108929,0.027638,-0.993647,0.233194,0.168392,-2.694779,0.000000,0.220595,0.167484,-2.684700,0.813902,0.179938,0.178264,-2.830495,0.885456,0.317820,0.156361,-2.686334,0.881829,0.214422,0.171459,-2.577585,0.802577,0.220595,0.167484,-2.684700,0.179938,0.178264,-2.830495,0.317820,0.156361,-2.686334,0.214422,0.171459,-2.577585,,,,,,,,,,,,,,,,,,,,,
762,2.116667,0.005311,0.108707,0.027356,-0.993683,0.233134,0.168470,-2.694739,0.000000,0.220539,0.167541,-2.684657,0.967479,0.179814,0.178477,-2.830421,0.973185,0.317772,0.156488,-2.686345,0.979344,0.214409,0.171375,-2.577534,0.966622,0.220539,0.167541,-2.684657,0.179814,0.178477,-2.830421,0.317772,0.156488,-2.686345,0.214409,0.171375,-2.577534,,,,,,,,,,,,,,,,,,,,,
763,2.119444,0.006223,0.109164,0.027001,-0.993638,0.233340,0.168408,-2.694791,0.000000,0.220737,0.167491,-2.684717,0.967479,0.180133,0.178127,-2.830537,0.973185,0.317977,0.156485,-2.686301,0.979344,0.214512,0.171528,-2.577607,0.966622,0.220737,0.167491,-2.684717,0.180133,0.178127,-2.830537,0.317977,0.156485,-2.686301,0.214512,0.171528,-2.577607,,,,,,,,,,,,,,,,,,,,,
764,2.122222,0.004957,0.108586,0.027093,-0.993705,0.233383,0.168309,-2.694851,0.000000,0.220791,0.167365,-2.684767,0.799242,0.180026,0.178372,-2.830514,0.908058,0.318030,0.156372,-2.686484,0.910857,0.214683,0.171126,-2.577640,0.820462,0.220791,0.167365,-2.684767,0.180026,0.178372,-2.830514,0.318030,0.156372,-2.686484,0.214683,0.171126,-2.577640,,,,,,,,,,,,,,,,,,,,,
765,2.125000,0.007351,0.109277,0.029119,-0.993558,0.233114,0.168535,-2.694812,0.000000,0.220505,0.167692,-2.684739,0.824089,0.179978,0.178249,-2.830587,0.900726,0.317695,0.156250,-2.686282,0.915807,0.214276,0.171948,-2.577638,0.817233,0.220505,0.167692,-2.684739,0.179978,0.178249,-2.830587,0.317695,0.156250,-2.686282,0.214276,0.171948,-2.577638,,,,,,,,,,,,,,,,,,,,,
766,2.127778,0.006147,0.109172,0.028492,-0.993595,0.233132,0.168354,-2.694767,0.000000,0.220527,0.167470,-2.684695,0.824089,0.179961,0.178295,-2.830512,0.900726,0.317733,0.156178,-2.686279,0.915807,0.214308,0.171474,-2.577584,0.817233,0.220527,0.167470,-2.684695,0.179961,0.178295,-2.830512,0.317733,0.156178,-2.686279,0.214308,0.171474,-2.577584,,,,,,,,,,,,,,,,,,,,,
767,2.130556,0.004770,0.108788,0.025875,-0.993717,0.233260,0.168437,-2.694765,0.000000,0.220667,0.167461,-2.684686,0.932127,0.179933,0.178382,-2.830448,0.935439,0.317934,0.156708,-2.686366,0.975771,0.214507,0.171197,-2.577561,0.864358,0.220667,0.167461,-2.684686,0.179933,0.178382,-2.830448,0.317934,0.156708,-2.686366,0.214507,0.171197,-2.577561,,,,,,,,,,,,,,,,,,,,,
768,2.133333,0.005252,0.109649,0.026287,-0.993609,0.233204,0.168318,-2.694860,0.000000,0.220593,0.167363,-2.684801,0.932127,0.180118,0.178188,-2.830643,0.935439,0.317852,0.156519,-2.686305,0.975771,0.214253,0.171203,-2.577690,0.864358,0.220593,0.167363,-2.684801,0.180118,0.178188,-2.830643,0.317852,0.156519,-2.686305,0.214253,0.171203,-2.577690,,,,,,,,,,,,,,,,,,,,,
